"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
65,1,The Three Doctors,"""Episode One""",Lennie Mayne,Bob Baker and Dave Martin,30 December 1972 (1972-12-30),RRR,9.6,—
65,1,The Three Doctors,"""Episode Two""",Lennie Mayne,Bob Baker and Dave Martin,6 January 1973 (1973-01-06),RRR,10.8,—
65,1,The Three Doctors,"""Episode Three""",Lennie Mayne,Bob Baker and Dave Martin,13 January 1973 (1973-01-13),RRR,8.8,—
65,1,The Three Doctors,"""Episode Four""",Lennie Mayne,Bob Baker and Dave Martin,20 January 1973 (1973-01-20),RRR,11.9,—
66,2,Carnival of Monsters,"""Episode One""",Barry Letts,Robert Holmes,27 January 1973 (1973-01-27),PPP,9.5,—
66,2,Carnival of Monsters,"""Episode Two""",Barry Letts,Robert Holmes,3 February 1973 (1973-02-03),PPP,9.0,—
66,2,Carnival of Monsters,"""Episode Three""",Barry Letts,Robert Holmes,10 February 1973 (1973-02-10),PPP,9.0,—
66,2,Carnival of Monsters,"""Episode Four""",Barry Letts,Robert Holmes,17 February 1973 (1973-02-17),PPP,9.2,—
67,3,Frontier in Space,"""Episode One""",Paul Bernard,Malcolm Hulke,24 February 1973 (1973-02-24),QQQ,9.1,—
67,3,Frontier in Space,"""Episode Two""",Paul Bernard,Malcolm Hulke,3 March 1973 (1973-03-03),QQQ,7.8,—
67,3,Frontier in Space,"""Episode Three""",Paul Bernard,Malcolm Hulke,10 March 1973 (1973-03-10),QQQ,7.5,—
67,3,Frontier in Space,"""Episode Four""",Paul Bernard,Malcolm Hulke,17 March 1973 (1973-03-17),QQQ,7.1,—
67,3,Frontier in Space,"""Episode Five""",Paul Bernard,Malcolm Hulke,24 March 1973 (1973-03-24),QQQ,7.7,—
67,3,Frontier in Space,"""Episode Six""",Paul Bernard,Malcolm Hulke,31 March 1973 (1973-03-31),QQQ,8.9,—
68,4,Planet of the Daleks,"""Episode One""",David Maloney,Terry Nation,7 April 1973 (1973-04-07),SSS,11.0,—
68,4,Planet of the Daleks,"""Episode Two""",David Maloney,Terry Nation,14 April 1973 (1973-04-14),SSS,10.7,—
68,4,Planet of the Daleks,"""Episode Three""",David Maloney,Terry Nation,21 April 1973 (1973-04-21),SSS,10.1,—
68,4,Planet of the Daleks,"""Episode Four""",David Maloney,Terry Nation,28 April 1973 (1973-04-28),SSS,8.3,—
68,4,Planet of the Daleks,"""Episode Five""",David Maloney,Terry Nation,5 May 1973 (1973-05-05),SSS,9.7,—
68,4,Planet of the Daleks,"""Episode Six""",David Maloney,Terry Nation,12 May 1973 (1973-05-12),SSS,8.5,—
69,5,The Green Death,"""Episode One""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),19 May 1973 (1973-05-19),TTT,9.2,—
69,5,The Green Death,"""Episode Two""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),26 May 1973 (1973-05-26),TTT,7.2,—
69,5,The Green Death,"""Episode Three""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),2 June 1973 (1973-06-02),TTT,7.8,—
69,5,The Green Death,"""Episode Four""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),9 June 1973 (1973-06-09),TTT,6.8,—
69,5,The Green Death,"""Episode Five""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),16 June 1973 (1973-06-16),TTT,8.3,—
69,5,The Green Death,"""Episode Six""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),23 June 1973 (1973-06-23),TTT,7.0,—
