"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
109,1,The Leisure Hive,"""Part One""",Lovett Bickford,David Fisher,30 August 1980 (1980-08-30),5N,5.9,—
109,1,The Leisure Hive,"""Part Two""",Lovett Bickford,David Fisher,6 September 1980 (1980-09-06),5N,5.0,—
109,1,The Leisure Hive,"""Part Three""",Lovett Bickford,David Fisher,13 September 1980 (1980-09-13),5N,5.0,—
109,1,The Leisure Hive,"""Part Four""",Lovett Bickford,David Fisher,20 September 1980 (1980-09-20),5N,4.5,65
110,2,Meglos,"""Part One""",Terence Dudley,John Flanagan & Andrew McCulloch,27 September 1980 (1980-09-27),5Q,5.0,61
110,2,Meglos,"""Part Two""",Terence Dudley,John Flanagan & Andrew McCulloch,4 October 1980 (1980-10-04),5Q,4.2,64
110,2,Meglos,"""Part Three""",Terence Dudley,John Flanagan & Andrew McCulloch,11 October 1980 (1980-10-11),5Q,4.7,—
110,2,Meglos,"""Part Four""",Terence Dudley,John Flanagan & Andrew McCulloch,18 October 1980 (1980-10-18),5Q,4.7,63
111,3,Full Circle,"""Part One""",Peter Grimwade,Andrew Smith,25 October 1980 (1980-10-25),5R,5.9,—
111,3,Full Circle,"""Part Two""",Peter Grimwade,Andrew Smith,1 November 1980 (1980-11-01),5R,3.7,—
111,3,Full Circle,"""Part Three""",Peter Grimwade,Andrew Smith,8 November 1980 (1980-11-08),5R,5.9,—
111,3,Full Circle,"""Part Four""",Peter Grimwade,Andrew Smith,15 November 1980 (1980-11-15),5R,5.4,65
112,4,State of Decay,"""Part One""",Peter Moffatt,Terrance Dicks,22 November 1980 (1980-11-22),5P,5.8,—
112,4,State of Decay,"""Part Two""",Peter Moffatt,Terrance Dicks,29 November 1980 (1980-11-29),5P,5.3,—
112,4,State of Decay,"""Part Three""",Peter Moffatt,Terrance Dicks,6 December 1980 (1980-12-06),5P,4.4,—
112,4,State of Decay,"""Part Four""",Peter Moffatt,Terrance Dicks,13 December 1980 (1980-12-13),5P,5.4,69
113,5,Warriors' Gate,"""Part One""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,3 January 1981 (1981-01-03),5S,7.1,59
113,5,Warriors' Gate,"""Part Two""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,10 January 1981 (1981-01-10),5S,6.7,—
113,5,Warriors' Gate,"""Part Three""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,17 January 1981 (1981-01-17),5S,8.3,—
113,5,Warriors' Gate,"""Part Four""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,24 January 1981 (1981-01-24),5S,7.8,59
114,6,The Keeper of Traken,"""Part One""",John Black,Johnny Byrne,31 January 1981 (1981-01-31),5T,7.6,—
114,6,The Keeper of Traken,"""Part Two""",John Black,Johnny Byrne,7 February 1981 (1981-02-07),5T,6.1,—
114,6,The Keeper of Traken,"""Part Three""",John Black,Johnny Byrne,14 February 1981 (1981-02-14),5T,5.2,—
114,6,The Keeper of Traken,"""Part Four""",John Black,Johnny Byrne,21 February 1981 (1981-02-21),5T,6.1,63
115,7,Logopolis,"""Part One""",Peter Grimwade,Christopher H. Bidmead,28 February 1981 (1981-02-28),5V,7.7,—
115,7,Logopolis,"""Part Two""",Peter Grimwade,Christopher H. Bidmead,7 March 1981 (1981-03-07),5V,7.7,61
115,7,Logopolis,"""Part Three""",Peter Grimwade,Christopher H. Bidmead,14 March 1981 (1981-03-14),5V,5.8,—
115,7,Logopolis,"""Part Four""",Peter Grimwade,Christopher H. Bidmead,21 March 1981 (1981-03-21),5V,6.1,65
