"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
86,1,The Masque of Mandragora,"""Part One""",Rodney Bennett,Louis Marks,4 September 1976 (1976-09-04),4M,8.3,58
86,1,The Masque of Mandragora,"""Part Two""",Rodney Bennett,Louis Marks,11 September 1976 (1976-09-11),4M,9.8,56
86,1,The Masque of Mandragora,"""Part Three""",Rodney Bennett,Louis Marks,18 September 1976 (1976-09-18),4M,9.2,—
86,1,The Masque of Mandragora,"""Part Four""",Rodney Bennett,Louis Marks,25 September 1976 (1976-09-25),4M,10.6,56
87,2,The Hand of Fear,"""Part One""",Lennie Mayne,Bob Baker and Dave Martin,2 October 1976 (1976-10-02),4N,10.5,—
87,2,The Hand of Fear,"""Part Two""",Lennie Mayne,Bob Baker and Dave Martin,9 October 1976 (1976-10-09),4N,10.2,—
87,2,The Hand of Fear,"""Part Three""",Lennie Mayne,Bob Baker and Dave Martin,16 October 1976 (1976-10-16),4N,11.1,62
87,2,The Hand of Fear,"""Part Four""",Lennie Mayne,Bob Baker and Dave Martin,23 October 1976 (1976-10-23),4N,12.0,—
88,3,The Deadly Assassin,"""Part One""",David Maloney,Robert Holmes,30 October 1976 (1976-10-30),4P,11.8,—
88,3,The Deadly Assassin,"""Part Two""",David Maloney,Robert Holmes,6 November 1976 (1976-11-06),4P,12.1,59
88,3,The Deadly Assassin,"""Part Three""",David Maloney,Robert Holmes,13 November 1976 (1976-11-13),4P,13.0,—
88,3,The Deadly Assassin,"""Part Four""",David Maloney,Robert Holmes,20 November 1976 (1976-11-20),4P,11.8,61
89,4,The Face of Evil,"""Part One""",Pennant Roberts,Chris Boucher,1 January 1977 (1977-01-01),4Q,10.7,61
89,4,The Face of Evil,"""Part Two""",Pennant Roberts,Chris Boucher,8 January 1977 (1977-01-08),4Q,11.1,—
89,4,The Face of Evil,"""Part Three""",Pennant Roberts,Chris Boucher,15 January 1977 (1977-01-15),4Q,11.3,59
89,4,The Face of Evil,"""Part Four""",Pennant Roberts,Chris Boucher,22 January 1977 (1977-01-22),4Q,11.7,60
90,5,The Robots of Death,"""Part One""",Michael E. Briant,Chris Boucher,29 January 1977 (1977-01-29),4R,12.8,62
90,5,The Robots of Death,"""Part Two""",Michael E. Briant,Chris Boucher,5 February 1977 (1977-02-05),4R,12.4,—
90,5,The Robots of Death,"""Part Three""",Michael E. Briant,Chris Boucher,12 February 1977 (1977-02-12),4R,13.1,—
90,5,The Robots of Death,"""Part Four""",Michael E. Briant,Chris Boucher,19 February 1977 (1977-02-19),4R,12.6,57
91,6,The Talons of Weng-Chiang,"""Part One""",David Maloney,Robert Holmes,26 February 1977 (1977-02-26),4S,11.3,—
91,6,The Talons of Weng-Chiang,"""Part Two""",David Maloney,Robert Holmes,5 March 1977 (1977-03-05),4S,9.8,—
91,6,The Talons of Weng-Chiang,"""Part Three""",David Maloney,Robert Holmes,12 March 1977 (1977-03-12),4S,10.2,—
91,6,The Talons of Weng-Chiang,"""Part Four""",David Maloney,Robert Holmes,19 March 1977 (1977-03-19),4S,11.4,60
91,6,The Talons of Weng-Chiang,"""Part Five""",David Maloney,Robert Holmes,26 March 1977 (1977-03-26),4S,10.1,—
91,6,The Talons of Weng-Chiang,"""Part Six""",David Maloney,Robert Holmes,2 April 1977 (1977-04-02),4S,9.3,58
