"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
136,7,The Twin Dilemma,"""Part One""",Peter Moffatt,Anthony Steven,22 March 1984 (1984-03-22),6S,7.6,61
136,7,The Twin Dilemma,"""Part Two""",Peter Moffatt,Anthony Steven,23 March 1984 (1984-03-23),6S,7.4,66
136,7,The Twin Dilemma,"""Part Three""",Peter Moffatt,Anthony Steven,29 March 1984 (1984-03-29),6S,7.0,59
136,7,The Twin Dilemma,"""Part Four""",Peter Moffatt,Anthony Steven,30 March 1984 (1984-03-30),6S,6.3,67
