"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
75,1,Robot,"""Part One""",Christopher Barry,Terrance Dicks,28 December 1974 (1974-12-28),4A,10.8,53
75,1,Robot,"""Part Two""",Christopher Barry,Terrance Dicks,4 January 1975 (1975-01-04),4A,10.7,53
75,1,Robot,"""Part Three""",Christopher Barry,Terrance Dicks,11 January 1975 (1975-01-11),4A,10.1,—
75,1,Robot,"""Part Four""",Christopher Barry,Terrance Dicks,18 January 1975 (1975-01-18),4A,9.0,51
76,2,The Ark in Space,"""Part One""",Rodney Bennett,Robert Holmes,25 January 1975 (1975-01-25),4C,9.4,—
76,2,The Ark in Space,"""Part Two""",Rodney Bennett,Robert Holmes,1 February 1975 (1975-02-01),4C,13.6,—
76,2,The Ark in Space,"""Part Three""",Rodney Bennett,Robert Holmes,8 February 1975 (1975-02-08),4C,11.2,—
76,2,The Ark in Space,"""Part Four""",Rodney Bennett,Robert Holmes,15 February 1975 (1975-02-15),4C,10.2,—
77,3,The Sontaran Experiment,"""Part One""",Rodney Bennett,Bob Baker and Dave Martin,22 February 1975 (1975-02-22),4B,11.0,—
77,3,The Sontaran Experiment,"""Part Two""",Rodney Bennett,Bob Baker and Dave Martin,1 March 1975 (1975-03-01),4B,10.5,55
78,4,Genesis of the Daleks,"""Part One""",David Maloney,Terry Nation,8 March 1975 (1975-03-08),4E,10.7,—
78,4,Genesis of the Daleks,"""Part Two""",David Maloney,Terry Nation,15 March 1975 (1975-03-15),4E,10.5,57
78,4,Genesis of the Daleks,"""Part Three""",David Maloney,Terry Nation,22 March 1975 (1975-03-22),4E,8.5,—
78,4,Genesis of the Daleks,"""Part Four""",David Maloney,Terry Nation,29 March 1975 (1975-03-29),4E,8.8,58
78,4,Genesis of the Daleks,"""Part Five""",David Maloney,Terry Nation,5 April 1975 (1975-04-05),4E,9.8,57
78,4,Genesis of the Daleks,"""Part Six""",David Maloney,Terry Nation,12 April 1975 (1975-04-12),4E,9.1,56
79,5,Revenge of the Cybermen,"""Part One""",Michael E. Briant,Gerry Davis,19 April 1975 (1975-04-19),4D,9.5,57
79,5,Revenge of the Cybermen,"""Part Two""",Michael E. Briant,Gerry Davis,26 April 1975 (1975-04-26),4D,8.3,—
79,5,Revenge of the Cybermen,"""Part Three""",Michael E. Briant,Gerry Davis,3 May 1975 (1975-05-03),4D,8.9,—
79,5,Revenge of the Cybermen,"""Part Four""",Michael E. Briant,Gerry Davis,10 May 1975 (1975-05-10),4D,9.4,58
