"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
28,1,The Smugglers,"""Episode 1""†",Julia Smith,Brian Hayles,10 September 1966 (1966-09-10),CC,4.3,47
28,1,The Smugglers,"""Episode 2""†",Julia Smith,Brian Hayles,17 September 1966 (1966-09-17),CC,4.9,45
28,1,The Smugglers,"""Episode 3""†",Julia Smith,Brian Hayles,24 September 1966 (1966-09-24),CC,4.2,43
28,1,The Smugglers,"""Episode 4""†",Julia Smith,Brian Hayles,1 October 1966 (1966-10-01),CC,4.5,43
29,2,The Tenth Planet,"""Episode 1""",Derek Martinus,Kit Pedler,8 October 1966 (1966-10-08),DD,5.5,50
29,2,The Tenth Planet,"""Episode 2""",Derek Martinus,Kit Pedler,15 October 1966 (1966-10-15),DD,6.4,48
29,2,The Tenth Planet,"""Episode 3""",Derek Martinus,Kit Pedler and Gerry Davis,22 October 1966 (1966-10-22),DD,7.6,48
29,2,The Tenth Planet,"""Episode 4""†",Derek Martinus,Kit Pedler and Gerry Davis,29 October 1966 (1966-10-29),DD,7.5,47
