"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
92,1,Horror of Fang Rock,"""Part One""",Paddy Russell,Terrance Dicks,3 September 1977 (1977-09-03),4V,6.8,58
92,1,Horror of Fang Rock,"""Part Two""",Paddy Russell,Terrance Dicks,10 September 1977 (1977-09-10),4V,7.1,—
92,1,Horror of Fang Rock,"""Part Three""",Paddy Russell,Terrance Dicks,17 September 1977 (1977-09-17),4V,9.8,60
92,1,Horror of Fang Rock,"""Part Four""",Paddy Russell,Terrance Dicks,24 September 1977 (1977-09-24),4V,9.9,57
93,2,The Invisible Enemy,"""Part One""",Derrick Goodwin,Bob Baker and Dave Martin,1 October 1977 (1977-10-01),4T,8.6,—
93,2,The Invisible Enemy,"""Part Two""",Derrick Goodwin,Bob Baker and Dave Martin,8 October 1977 (1977-10-08),4T,7.3,—
93,2,The Invisible Enemy,"""Part Three""",Derrick Goodwin,Bob Baker and Dave Martin,15 October 1977 (1977-10-15),4T,7.5,—
93,2,The Invisible Enemy,"""Part Four""",Derrick Goodwin,Bob Baker and Dave Martin,22 October 1977 (1977-10-22),4T,8.3,60
94,3,Image of the Fendahl,"""Part One""",George Spenton-Foster,Chris Boucher,29 October 1977 (1977-10-29),4X,6.7,—
94,3,Image of the Fendahl,"""Part Two""",George Spenton-Foster,Chris Boucher,5 November 1977 (1977-11-05),4X,7.5,75
94,3,Image of the Fendahl,"""Part Three""",George Spenton-Foster,Chris Boucher,12 November 1977 (1977-11-12),4X,7.9,—
94,3,Image of the Fendahl,"""Part Four""",George Spenton-Foster,Chris Boucher,19 November 1977 (1977-11-19),4X,9.1,61
95,4,The Sun Makers,"""Part One""",Pennant Roberts,Robert Holmes,26 November 1977 (1977-11-26),4W,8.5,—
95,4,The Sun Makers,"""Part Two""",Pennant Roberts,Robert Holmes,3 December 1977 (1977-12-03),4W,9.5,62
95,4,The Sun Makers,"""Part Three""",Pennant Roberts,Robert Holmes,10 December 1977 (1977-12-10),4W,8.9,68
95,4,The Sun Makers,"""Part Four""",Pennant Roberts,Robert Holmes,17 December 1977 (1977-12-17),4W,8.4,59
96,5,Underworld,"""Part One""",Norman Stewart,Bob Baker and Dave Martin,7 January 1978 (1978-01-07),4Y,8.9,65
96,5,Underworld,"""Part Two""",Norman Stewart,Bob Baker and Dave Martin,14 January 1978 (1978-01-14),4Y,9.1,—
96,5,Underworld,"""Part Three""",Norman Stewart,Bob Baker and Dave Martin,21 January 1978 (1978-01-21),4Y,8.9,—
96,5,Underworld,"""Part Four""",Norman Stewart,Bob Baker and Dave Martin,28 January 1978 (1978-01-28),4Y,11.7,—
97,6,The Invasion of Time,"""Part One""",Gerald Blake,"""David Agnew""
(Graham Williams and Anthony Read)",4 February 1978 (1978-02-04),4Z,11.2,56
97,6,The Invasion of Time,"""Part Two""",Gerald Blake,"""David Agnew""
(Graham Williams and Anthony Read)",11 February 1978 (1978-02-11),4Z,11.4,—
97,6,The Invasion of Time,"""Part Three""",Gerald Blake,"""David Agnew""
(Graham Williams and Anthony Read)",18 February 1978 (1978-02-18),4Z,9.5,—
97,6,The Invasion of Time,"""Part Four""",Gerald Blake,"""David Agnew""
(Graham Williams and Anthony Read)",25 February 1978 (1978-02-25),4Z,10.9,—
97,6,The Invasion of Time,"""Part Five""",Gerald Blake,"""David Agnew""
(Graham Williams and Anthony Read)",4 March 1978 (1978-03-04),4Z,10.3,—
97,6,The Invasion of Time,"""Part Six""",Gerald Blake,"""David Agnew""
(Graham Williams and Anthony Read)",11 March 1978 (1978-03-11),4Z,9.8,—
