"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
137,1,Attack of the Cybermen,"""Part One""",Matthew Robinson,Paula Moore,5 January 1985 (1985-01-05),6T,8.9,61
137,1,Attack of the Cybermen,"""Part Two""",Matthew Robinson,Paula Moore,12 January 1985 (1985-01-12),6T,7.2,65
138,2,Vengeance on Varos,"""Part One""",Ron Jones,Philip Martin,19 January 1985 (1985-01-19),6V,7.2,63
138,2,Vengeance on Varos,"""Part Two""",Ron Jones,Philip Martin,26 January 1985 (1985-01-26),6V,7.0,65
139,3,The Mark of the Rani,"""Part One""",Sarah Hellings,Pip and Jane Baker,2 February 1985 (1985-02-02),6X,6.3,64
139,3,The Mark of the Rani,"""Part Two""",Sarah Hellings,Pip and Jane Baker,9 February 1985 (1985-02-09),6X,7.3,64
140,4,The Two Doctors,"""Part One""",Peter Moffatt,Robert Holmes,16 February 1985 (1985-02-16),6W,6.6,65
140,4,The Two Doctors,"""Part Two""",Peter Moffatt,Robert Holmes,23 February 1985 (1985-02-23),6W,6.0,62
140,4,The Two Doctors,"""Part Three""",Peter Moffatt,Robert Holmes,2 March 1985 (1985-03-02),6W,6.9,65
141,5,Timelash,"""Part One""",Pennant Roberts,Glen McCoy,9 March 1985 (1985-03-09),6Y,6.7,66
141,5,Timelash,"""Part Two""",Pennant Roberts,Glen McCoy,16 March 1985 (1985-03-16),6Y,7.4,64
142,6,Revelation of the Daleks,"""Part One""",Graeme Harper,Eric Saward,23 March 1985 (1985-03-23),6Z,7.4,67
142,6,Revelation of the Daleks,"""Part Two""",Graeme Harper,Eric Saward,30 March 1985 (1985-03-30),6Z,7.7,65
