"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
37,1,The Tomb of the Cybermen,"""Episode 1""",Morris Barry,Kit Pedler and Gerry Davis,2 September 1967 (1967-09-02),MM,6.0,53
37,1,The Tomb of the Cybermen,"""Episode 2""",Morris Barry,Kit Pedler and Gerry Davis,9 September 1967 (1967-09-09),MM,6.4,52
37,1,The Tomb of the Cybermen,"""Episode 3""",Morris Barry,Kit Pedler and Gerry Davis,16 September 1967 (1967-09-16),MM,7.2,49
37,1,The Tomb of the Cybermen,"""Episode 4""",Morris Barry,Kit Pedler and Gerry Davis,23 September 1967 (1967-09-23),MM,7.4,50
38,2,The Abominable Snowmen,"""Episode One""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,30 September 1967 (1967-09-30),NN,6.3,50
38,2,The Abominable Snowmen,"""Episode Two""",Gerald Blake,Mervyn Haisman and Henry Lincoln,7 October 1967 (1967-10-07),NN,6.0,52
38,2,The Abominable Snowmen,"""Episode Three""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,14 October 1967 (1967-10-14),NN,7.1,51
38,2,The Abominable Snowmen,"""Episode Four""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,21 October 1967 (1967-10-21),NN,7.1,50
38,2,The Abominable Snowmen,"""Episode Five""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,28 October 1967 (1967-10-28),NN,7.2,51
38,2,The Abominable Snowmen,"""Episode Six""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,4 November 1967 (1967-11-04),NN,7.4,52
39,3,The Ice Warriors,"""One""",Derek Martinus,Brian Hayles,11 November 1967 (1967-11-11),OO,6.7,52
39,3,The Ice Warriors,"""Two""†",Derek Martinus,Brian Hayles,18 November 1967 (1967-11-18),OO,7.1,52
39,3,The Ice Warriors,"""Three""†",Derek Martinus,Brian Hayles,25 November 1967 (1967-11-25),OO,7.4,51
39,3,The Ice Warriors,"""Four""",Derek Martinus,Brian Hayles,2 December 1967 (1967-12-02),OO,7.3,51
39,3,The Ice Warriors,"""Five""",Derek Martinus,Brian Hayles,9 December 1967 (1967-12-09),OO,8.0,50
39,3,The Ice Warriors,"""Six""",Derek Martinus,Brian Hayles,16 December 1967 (1967-12-16),OO,7.5,51
40,4,The Enemy of the World,"""Episode 1""",Barry Letts,David Whitaker,23 December 1967 (1967-12-23),PP,6.8,50
40,4,The Enemy of the World,"""Episode 2""",Barry Letts,David Whitaker,30 December 1967 (1967-12-30),PP,7.6,49
40,4,The Enemy of the World,"""Episode 3""",Barry Letts,David Whitaker,6 January 1968 (1968-01-06),PP,7.1,48
40,4,The Enemy of the World,"""Episode 4""",Barry Letts,David Whitaker,13 January 1968 (1968-01-13),PP,7.8,49
40,4,The Enemy of the World,"""Episode 5""",Barry Letts,David Whitaker,20 January 1968 (1968-01-20),PP,6.9,49
40,4,The Enemy of the World,"""Episode 6""",Barry Letts,David Whitaker,27 January 1968 (1968-01-27),PP,8.3,52
41,5,The Web of Fear,"""Episode 1""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,3 February 1968 (1968-02-03),QQ,7.2,54
41,5,The Web of Fear,"""Episode 2""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,10 February 1968 (1968-02-10),QQ,6.8,53
41,5,The Web of Fear,"""Episode 3""†",Douglas Camfield,Mervyn Haisman and Henry Lincoln,17 February 1968 (1968-02-17),QQ,7.0,51
41,5,The Web of Fear,"""Episode 4""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,24 February 1968 (1968-02-24),QQ,8.4,53
41,5,The Web of Fear,"""Episode 5""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,2 March 1968 (1968-03-02),QQ,8.0,55
41,5,The Web of Fear,"""Episode 6""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,9 March 1968 (1968-03-09),QQ,8.3,55
42,6,Fury from the Deep,"""Episode 1""†",Hugh David,Victor Pemberton,16 March 1968 (1968-03-16),RR,8.2,55
42,6,Fury from the Deep,"""Episode 2""†",Hugh David,Victor Pemberton,23 March 1968 (1968-03-23),RR,7.9,55
42,6,Fury from the Deep,"""Episode 3""†",Hugh David,Victor Pemberton,30 March 1968 (1968-03-30),RR,7.7,56
42,6,Fury from the Deep,"""Episode 4""†",Hugh David,Victor Pemberton,6 April 1968 (1968-04-06),RR,6.6,56
42,6,Fury from the Deep,"""Episode 5""†",Hugh David,Victor Pemberton,13 April 1968 (1968-04-13),RR,5.9,56
42,6,Fury from the Deep,"""Episode 6""†",Hugh David,Victor Pemberton,20 April 1968 (1968-04-20),RR,6.9,57
43,7,The Wheel in Space,"""Episode 1""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),27 April 1968 (1968-04-27),SS,7.2,57
43,7,The Wheel in Space,"""Episode 2""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),4 May 1968 (1968-05-04),SS,6.9,60
43,7,The Wheel in Space,"""Episode 3""",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),11 May 1968 (1968-05-11),SS,7.5,55
43,7,The Wheel in Space,"""Episode 4""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),18 May 1968 (1968-05-18),SS,8.6,56
43,7,The Wheel in Space,"""Episode 5""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),25 May 1968 (1968-05-25),SS,6.8,57
43,7,The Wheel in Space,"""Episode 6""",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1 June 1968 (1968-06-01),SS,6.5,62
