"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
144,1,Time and the Rani,"""Part One""",Andrew Morgan,Pip and Jane Baker,7 September 1987 (1987-09-07),7D,5.1,58
144,1,Time and the Rani,"""Part Two""",Andrew Morgan,Pip and Jane Baker,14 September 1987 (1987-09-14),7D,4.2,63
144,1,Time and the Rani,"""Part Three""",Andrew Morgan,Pip and Jane Baker,21 September 1987 (1987-09-21),7D,4.3,57
144,1,Time and the Rani,"""Part Four""",Andrew Morgan,Pip and Jane Baker,28 September 1987 (1987-09-28),7D,4.9,59
145,2,Paradise Towers,"""Part One""",Nicholas Mallett,Stephen Wyatt,5 October 1987 (1987-10-05),7E,4.5,61
145,2,Paradise Towers,"""Part Two""",Nicholas Mallett,Stephen Wyatt,12 October 1987 (1987-10-12),7E,5.2,58
145,2,Paradise Towers,"""Part Three""",Nicholas Mallett,Stephen Wyatt,19 October 1987 (1987-10-19),7E,5.0,58
145,2,Paradise Towers,"""Part Four""",Nicholas Mallett,Stephen Wyatt,26 October 1987 (1987-10-26),7E,5.0,57
146,3,Delta and the Bannermen,"""Part One""",Chris Clough,Malcolm Kohll,2 November 1987 (1987-11-02),7F,5.3,63
146,3,Delta and the Bannermen,"""Part Two""",Chris Clough,Malcolm Kohll,9 November 1987 (1987-11-09),7F,5.1,60
146,3,Delta and the Bannermen,"""Part Three""",Chris Clough,Malcolm Kohll,16 November 1987 (1987-11-16),7F,5.4,60
147,4,Dragonfire,"""Part One""",Chris Clough,Ian Briggs,23 November 1987 (1987-11-23),7G,5.5,61
147,4,Dragonfire,"""Part Two""",Chris Clough,Ian Briggs,30 November 1987 (1987-11-30),7G,5.0,61
147,4,Dragonfire,"""Part Three""",Chris Clough,Ian Briggs,7 December 1987 (1987-12-07),7G,4.7,64
