"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
130,1,Warriors of the Deep,"""Part One""",Pennant Roberts,Johnny Byrne,5 January 1984 (1984-01-05),6L,7.6,65
130,1,Warriors of the Deep,"""Part Two""",Pennant Roberts,Johnny Byrne,6 January 1984 (1984-01-06),6L,7.5,64
130,1,Warriors of the Deep,"""Part Three""",Pennant Roberts,Johnny Byrne,12 January 1984 (1984-01-12),6L,7.3,62
130,1,Warriors of the Deep,"""Part Four""",Pennant Roberts,Johnny Byrne,13 January 1984 (1984-01-13),6L,6.6,65
131,2,The Awakening,"""Part One""",Michael Owen Morris,Eric Pringle,19 January 1984 (1984-01-19),6M,7.9,65
131,2,The Awakening,"""Part Two""",Michael Owen Morris,Eric Pringle,20 January 1984 (1984-01-20),6M,6.6,63
132,3,Frontios,"""Part One""",Ron Jones,Christopher H. Bidmead,26 January 1984 (1984-01-26),6N,8.0,66
132,3,Frontios,"""Part Two""",Ron Jones,Christopher H. Bidmead,27 January 1984 (1984-01-27),6N,5.8,69
132,3,Frontios,"""Part Three""",Ron Jones,Christopher H. Bidmead,2 February 1984 (1984-02-02),6N,7.8,65
132,3,Frontios,"""Part Four""",Ron Jones,Christopher H. Bidmead,3 February 1984 (1984-02-03),6N,5.6,65
133,4,Resurrection of the Daleks,"""Part One""",Matthew Robinson,Eric Saward,8 February 1984 (1984-02-08),6P,7.3,69
133,4,Resurrection of the Daleks,"""Part Two""",Matthew Robinson,Eric Saward,15 February 1984 (1984-02-15),6P,8.0,65
134,5,Planet of Fire,"""Part One""",Fiona Cumming,Peter Grimwade,23 February 1984 (1984-02-23),6Q,7.4,—
134,5,Planet of Fire,"""Part Two""",Fiona Cumming,Peter Grimwade,24 February 1984 (1984-02-24),6Q,6.1,—
134,5,Planet of Fire,"""Part Three""",Fiona Cumming,Peter Grimwade,1 March 1984 (1984-03-01),6Q,7.4,—
134,5,Planet of Fire,"""Part Four""",Fiona Cumming,Peter Grimwade,2 March 1984 (1984-03-02),6Q,7.0,—
135,6,The Caves of Androzani,"""Part One""",Graeme Harper,Robert Holmes,8 March 1984 (1984-03-08),6R,6.9,65
135,6,The Caves of Androzani,"""Part Two""",Graeme Harper,Robert Holmes,9 March 1984 (1984-03-09),6R,6.6,—
135,6,The Caves of Androzani,"""Part Three""",Graeme Harper,Robert Holmes,15 March 1984 (1984-03-15),6R,7.8,65
135,6,The Caves of Androzani,"""Part Four""",Graeme Harper,Robert Holmes,16 March 1984 (1984-03-16),6R,7.8,68
