"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
143a,1,The Mysterious Planet,"""Part One""",Nicholas Mallett,Robert Holmes,6 September 1986 (1986-09-06),7A,4.9,72
143a,1,The Mysterious Planet,"""Part Two""",Nicholas Mallett,Robert Holmes,13 September 1986 (1986-09-13),7A,4.9,69
143a,1,The Mysterious Planet,"""Part Three""",Nicholas Mallett,Robert Holmes,20 September 1986 (1986-09-20),7A,3.9,70
143a,1,The Mysterious Planet,"""Part Four""",Nicholas Mallett,Robert Holmes,27 September 1986 (1986-09-27),7A,3.7,72
143b,2,Mindwarp,"""Part Five""",Ron Jones,Philip Martin,4 October 1986 (1986-10-04),7B,4.8,71
143b,2,Mindwarp,"""Part Six""",Ron Jones,Philip Martin,11 October 1986 (1986-10-11),7B,4.6,69
143b,2,Mindwarp,"""Part Seven""",Ron Jones,Philip Martin,18 October 1986 (1986-10-18),7B,5.1,66
143b,2,Mindwarp,"""Part Eight""",Ron Jones,Philip Martin,25 October 1986 (1986-10-25),7B,5.0,72
143c,3,Terror of the Vervoids,"""Part Nine""",Chris Clough,Pip and Jane Baker,1 November 1986 (1986-11-01),7C,5.2,66
143c,3,Terror of the Vervoids,"""Part Ten""",Chris Clough,Pip and Jane Baker,8 November 1986 (1986-11-08),7C,4.6,69
143c,3,Terror of the Vervoids,"""Part Eleven""",Chris Clough,Pip and Jane Baker,15 November 1986 (1986-11-15),7C,5.3,69
143c,3,Terror of the Vervoids,"""Part Twelve""",Chris Clough,Pip and Jane Baker,22 November 1986 (1986-11-22),7C,5.3,69
143d,4,The Ultimate Foe,"""Part Thirteen""",Chris Clough,Robert Holmes,29 November 1986 (1986-11-29),7C,4.4,69
143d,4,The Ultimate Foe,"""Part Fourteen""",Chris Clough,Pip and Jane Baker,6 December 1986 (1986-12-06),7C,5.6,69
