"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
18,1,Galaxy 4,"""Four Hundred Dawns""†",Derek Martinus,William Emms,11 September 1965 (1965-09-11),T,9.0,56
18,1,Galaxy 4,"""Trap of Steel""†",Derek Martinus,William Emms,18 September 1965 (1965-09-18),T,9.5,55
18,1,Galaxy 4,"""Air Lock""",Derek Martinus,William Emms,25 September 1965 (1965-09-25),T,11.3,54
18,1,Galaxy 4,"""The Exploding Planet""†",Derek Martinus,William Emms,2 October 1965 (1965-10-02),T,9.9,53
19,2,"""Mission to the Unknown""†",N/A,Derek Martinus,Terry Nation,9 October 1965 (1965-10-09),T/A,8.3,54
20,3,The Myth Makers,"""Temple of Secrets""†",Michael Leeston-Smith,Donald Cotton,16 October 1965 (1965-10-16),U,8.3,48
20,3,The Myth Makers,"""Small Prophet, Quick Return""†",Michael Leeston-Smith,Donald Cotton,23 October 1965 (1965-10-23),U,8.1,51
20,3,The Myth Makers,"""Death of a Spy""†",Michael Leeston-Smith,Donald Cotton,30 October 1965 (1965-10-30),U,8.7,49
20,3,The Myth Makers,"""Horse of Destruction""†",Michael Leeston-Smith,Donald Cotton,6 November 1965 (1965-11-06),U,8.3,52
21,4,The Daleks' Master Plan,"""The Nightmare Begins""†",Douglas Camfield,Terry Nation,13 November 1965 (1965-11-13),V,9.1,54
21,4,The Daleks' Master Plan,"""Day of Armageddon""",Douglas Camfield,Terry Nation,20 November 1965 (1965-11-20),V,9.8,52
21,4,The Daleks' Master Plan,"""Devil's Planet""†",Douglas Camfield,Terry Nation,27 November 1965 (1965-11-27),V,10.3,52
21,4,The Daleks' Master Plan,"""The Traitors""†",Douglas Camfield,Terry Nation,4 December 1965 (1965-12-04),V,9.5,51
21,4,The Daleks' Master Plan,"""Counter Plot""",Douglas Camfield,Terry Nation,11 December 1965 (1965-12-11),V,9.9,53
21,4,The Daleks' Master Plan,"""Coronas of the Sun""†",Douglas Camfield,Dennis Spooner,18 December 1965 (1965-12-18),V,9.1,56
21,4,The Daleks' Master Plan,"""The Feast of Steven""†",Douglas Camfield,Terry Nation,25 December 1965 (1965-12-25),V,7.9,39
21,4,The Daleks' Master Plan,"""Volcano""†",Douglas Camfield,Dennis Spooner,1 January 1966 (1966-01-01),V,9.6,49
21,4,The Daleks' Master Plan,"""Golden Death""†",Douglas Camfield,Dennis Spooner,8 January 1966 (1966-01-08),V,9.2,52
21,4,The Daleks' Master Plan,"""Escape Switch""",Douglas Camfield,Dennis Spooner,15 January 1966 (1966-01-15),V,9.5,50
21,4,The Daleks' Master Plan,"""The Abandoned Planet""†",Douglas Camfield,Dennis Spooner,22 January 1966 (1966-01-22),V,9.8,49
21,4,The Daleks' Master Plan,"""Destruction of Time""†",Douglas Camfield,Dennis Spooner,29 January 1966 (1966-01-29),V,8.6,57
22,5,The Massacre,"""War of God""†",Paddy Russell,John Lucarotti,5 February 1966 (1966-02-05),W,8.0,52
22,5,The Massacre,"""The Sea Beggar""†",Paddy Russell,John Lucarotti,12 February 1966 (1966-02-12),W,6.0,52
22,5,The Massacre,"""Priest of Death""†",Paddy Russell,John Lucarotti,19 February 1966 (1966-02-19),W,5.9,49
22,5,The Massacre,"""Bell of Doom""†",Paddy Russell,John Lucarotti and Donald Tosh,26 February 1966 (1966-02-26),W,5.8,53
23,6,The Ark,"""The Steel Sky""",Michael Imison,Paul Erickson and Lesley Scott,5 March 1966 (1966-03-05),X,5.5,55
23,6,The Ark,"""The Plague""",Michael Imison,Paul Erickson and Lesley Scott,12 March 1966 (1966-03-12),X,6.9,56
23,6,The Ark,"""The Return""",Michael Imison,Paul Erickson and Lesley Scott,19 March 1966 (1966-03-19),X,6.2,51
23,6,The Ark,"""The Bomb""",Michael Imison,Paul Erickson and Lesley Scott,26 March 1966 (1966-03-26),X,7.3,50
24,7,The Celestial Toymaker,"""The Celestial Toyroom""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),2 April 1966 (1966-04-02),Y,8.0,48
24,7,The Celestial Toymaker,"""The Hall of Dolls""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),9 April 1966 (1966-04-09),Y,8.0,49
24,7,The Celestial Toymaker,"""The Dancing Floor""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),16 April 1966 (1966-04-16),Y,9.4,44
24,7,The Celestial Toymaker,"""The Final Test""",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),23 April 1966 (1966-04-23),Y,7.8,43
25,8,The Gunfighters,"""A Holiday for the Doctor""",Rex Tucker,Donald Cotton,30 April 1966 (1966-04-30),Z,6.5,45
25,8,The Gunfighters,"""Don't Shoot the Pianist""",Rex Tucker,Donald Cotton,7 May 1966 (1966-05-07),Z,6.6,39
25,8,The Gunfighters,"""Johnny Ringo""",Rex Tucker,Donald Cotton,14 May 1966 (1966-05-14),Z,6.2,36
25,8,The Gunfighters,"""The O.K. Corral""",Rex Tucker,Donald Cotton,21 May 1966 (1966-05-21),Z,5.7,30
26,9,The Savages,"""Episode 1""†",Christopher Barry,Ian Stuart Black,28 May 1966 (1966-05-28),AA,4.8,48
26,9,The Savages,"""Episode 2""†",Christopher Barry,Ian Stuart Black,4 June 1966 (1966-06-04),AA,5.6,49
26,9,The Savages,"""Episode 3""†",Christopher Barry,Ian Stuart Black,11 June 1966 (1966-06-11),AA,5.0,48
26,9,The Savages,"""Episode 4""†",Christopher Barry,Ian Stuart Black,18 June 1966 (1966-06-18),AA,4.5,48
27,10,The War Machines,"""Episode 1""",Michael Ferguson,Ian Stuart Black,25 June 1966 (1966-06-25),BB,5.4,49
27,10,The War Machines,"""Episode 2""",Michael Ferguson,Ian Stuart Black,2 July 1966 (1966-07-02),BB,4.7,45
27,10,The War Machines,"""Episode 3""",Michael Ferguson,Ian Stuart Black,9 July 1966 (1966-07-09),BB,5.3,44
27,10,The War Machines,"""Episode 4""",Michael Ferguson,Ian Stuart Black,16 July 1966 (1966-07-16),BB,5.5,39
