"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
44,1,The Dominators,"""Episode 1""",Morris Barry,"""Norman Ashby""
(Mervyn Haisman and Henry Lincoln)",10 August 1968 (1968-08-10),TT,6.1,52
44,1,The Dominators,"""Episode 2""",Morris Barry,"""Norman Ashby""
(Mervyn Haisman and Henry Lincoln)",17 August 1968 (1968-08-17),TT,5.9,55
44,1,The Dominators,[Episode 3],Morris Barry,"""Norman Ashby""
(Mervyn Haisman and Henry Lincoln)",24 August 1968 (1968-08-24),TT,5.4,55
44,1,The Dominators,"""Episode 4""",Morris Barry,"""Norman Ashby""
(Mervyn Haisman and Henry Lincoln)",31 August 1968 (1968-08-31),TT,7.5,51
44,1,The Dominators,"""Episode 5""",Morris Barry,"""Norman Ashby""
(Mervyn Haisman and Henry Lincoln)",7 September 1968 (1968-09-07),TT,5.9,53
45,2,The Mind Robber,"""Episode 1""",David Maloney,Derrick Sherwin (uncredited),14 September 1968 (1968-09-14),UU,6.6,51
45,2,The Mind Robber,"""Episode 2""",David Maloney,Peter Ling,21 September 1968 (1968-09-21),UU,6.5,49
45,2,The Mind Robber,"""Episode 3""",David Maloney,Peter Ling,28 September 1968 (1968-09-28),UU,7.2,53
45,2,The Mind Robber,"""Episode 4""",David Maloney,Peter Ling,5 October 1968 (1968-10-05),UU,7.3,56
45,2,The Mind Robber,"""Episode 5""",David Maloney,Peter Ling,12 October 1968 (1968-10-12),UU,6.7,49
46,3,The Invasion,"""Episode One""†",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),2 November 1968 (1968-11-02),VV,7.3,55
46,3,The Invasion,"""Episode Two""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),9 November 1968 (1968-11-09),VV,7.1,53
46,3,The Invasion,"""Episode Three""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),16 November 1968 (1968-11-16),VV,7.1,54
46,3,The Invasion,"""Episode Four""†",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),23 November 1968 (1968-11-23),VV,6.4,51
46,3,The Invasion,"""Episode Five""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),30 November 1968 (1968-11-30),VV,6.7,52
46,3,The Invasion,"""Episode Six""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),7 December 1968 (1968-12-07),VV,6.5,56
46,3,The Invasion,"""Episode Seven""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),14 December 1968 (1968-12-14),VV,7.2,55
46,3,The Invasion,"""Episode Eight""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),21 December 1968 (1968-12-21),VV,7.0,53
47,4,The Krotons,"""Episode One""",David Maloney,Robert Holmes,28 December 1968 (1968-12-28),WW,9.0,59
47,4,The Krotons,"""Episode Two""",David Maloney,Robert Holmes,4 January 1969 (1969-01-04),WW,8.4,57
47,4,The Krotons,"""Episode Three""",David Maloney,Robert Holmes,11 January 1969 (1969-01-11),WW,7.5,56
47,4,The Krotons,"""Episode Four""",David Maloney,Robert Holmes,18 January 1969 (1969-01-18),WW,7.1,55
48,5,The Seeds of Death,"""Episode One""",Michael Ferguson,Brian Hayles,25 January 1969 (1969-01-25),XX,6.6,57
48,5,The Seeds of Death,"""Episode Two""",Michael Ferguson,Brian Hayles,1 February 1969 (1969-02-01),XX,6.8,59
48,5,The Seeds of Death,"""Episode Three""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),8 February 1969 (1969-02-08),XX,7.5,55
48,5,The Seeds of Death,"""Episode Four""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),15 February 1969 (1969-02-15),XX,7.1,55
48,5,The Seeds of Death,"""Episode Five""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),22 February 1969 (1969-02-22),XX,7.6,57
48,5,The Seeds of Death,"""Episode Six""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),1 March 1969 (1969-03-01),XX,7.7,59
49,6,The Space Pirates,"""Episode One""†",Michael Hart,Robert Holmes,8 March 1969 (1969-03-08),YY,5.8,57
49,6,The Space Pirates,"""Episode Two""",Michael Hart,Robert Holmes,15 March 1969 (1969-03-15),YY,6.8,52
49,6,The Space Pirates,"""Episode Three""†",Michael Hart,Robert Holmes,22 March 1969 (1969-03-22),YY,6.4,55
49,6,The Space Pirates,"""Episode Four""†",Michael Hart,Robert Holmes,29 March 1969 (1969-03-29),YY,5.8,53
49,6,The Space Pirates,"""Episode Five""†",Michael Hart,Robert Holmes,5 April 1969 (1969-04-05),YY,5.5,56
49,6,The Space Pirates,"""Episode Six""†",Michael Hart,Robert Holmes,12 April 1969 (1969-04-12),YY,5.3,52
50,7,The War Games,"""Episode One""",David Maloney,Terrance Dicks and Malcolm Hulke,19 April 1969 (1969-04-19),ZZ,5.5,55
50,7,The War Games,"""Episode Two""",David Maloney,Terrance Dicks and Malcolm Hulke,26 April 1969 (1969-04-26),ZZ,6.3,54
50,7,The War Games,"""Episode Three""",David Maloney,Terrance Dicks and Malcolm Hulke,3 May 1969 (1969-05-03),ZZ,5.1,53
50,7,The War Games,"""Episode Four""",David Maloney,Terrance Dicks and Malcolm Hulke,10 May 1969 (1969-05-10),ZZ,5.7,50
50,7,The War Games,"""Episode Five""",David Maloney,Terrance Dicks and Malcolm Hulke,17 May 1969 (1969-05-17),ZZ,5.1,53
50,7,The War Games,"""Episode Six""",David Maloney,Terrance Dicks and Malcolm Hulke,24 May 1969 (1969-05-24),ZZ,4.2,53
50,7,The War Games,"""Episode Seven""",David Maloney,Terrance Dicks and Malcolm Hulke,31 May 1969 (1969-05-31),ZZ,4.9,53
50,7,The War Games,"""Episode Eight""",David Maloney,Terrance Dicks and Malcolm Hulke,7 June 1969 (1969-06-07),ZZ,3.5,53
50,7,The War Games,"""Episode Nine""",David Maloney,Terrance Dicks and Malcolm Hulke,14 June 1969 (1969-06-14),ZZ,4.1,57
50,7,The War Games,"""Episode Ten""",David Maloney,Terrance Dicks and Malcolm Hulke,21 June 1969 (1969-06-21),ZZ,5.0,58
