"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
70,1,The Time Warrior,"""Part One""",Alan Bromly,Robert Holmes,15 December 1973 (1973-12-15),UUU,8.7,59
70,1,The Time Warrior,"""Part Two""",Alan Bromly,Robert Holmes,22 December 1973 (1973-12-22),UUU,7.0,—
70,1,The Time Warrior,"""Part Three""",Alan Bromly,Robert Holmes,29 December 1973 (1973-12-29),UUU,6.6,—
70,1,The Time Warrior,"""Part Four""",Alan Bromly,Robert Holmes,5 January 1974 (1974-01-05),UUU,10.6,60
71,2,Invasion of the Dinosaurs,"""Part One""",Paddy Russell,Malcolm Hulke,12 January 1974 (1974-01-12),WWW,11.0,62
71,2,Invasion of the Dinosaurs,"""Part Two""",Paddy Russell,Malcolm Hulke,19 January 1974 (1974-01-19),WWW,10.1,—
71,2,Invasion of the Dinosaurs,"""Part Three""",Paddy Russell,Malcolm Hulke,26 January 1974 (1974-01-26),WWW,11.0,63
71,2,Invasion of the Dinosaurs,"""Part Four""",Paddy Russell,Malcolm Hulke,2 February 1974 (1974-02-02),WWW,9.0,—
71,2,Invasion of the Dinosaurs,"""Part Five""",Paddy Russell,Malcolm Hulke,9 February 1974 (1974-02-09),WWW,9.0,—
71,2,Invasion of the Dinosaurs,"""Part Six""",Paddy Russell,Malcolm Hulke,16 February 1974 (1974-02-16),WWW,7.5,62
72,3,Death to the Daleks,"""Part One""",Michael E. Briant,Terry Nation,23 February 1974 (1974-02-23),XXX,8.1,61
72,3,Death to the Daleks,"""Part Two""",Michael E. Briant,Terry Nation,2 March 1974 (1974-03-02),XXX,9.5,—
72,3,Death to the Daleks,"""Part Three""",Michael E. Briant,Terry Nation,9 March 1974 (1974-03-09),XXX,10.5,61
72,3,Death to the Daleks,"""Part Four""",Michael E. Briant,Terry Nation,16 March 1974 (1974-03-16),XXX,9.5,62
73,4,The Monster of Peladon,"""Part One""",Lennie Mayne,Brian Hayles,23 March 1974 (1974-03-23),YYY,9.2,—
73,4,The Monster of Peladon,"""Part Two""",Lennie Mayne,Brian Hayles,30 March 1974 (1974-03-30),YYY,6.8,—
73,4,The Monster of Peladon,"""Part Three""",Lennie Mayne,Brian Hayles,6 April 1974 (1974-04-06),YYY,7.4,64
73,4,The Monster of Peladon,"""Part Four""",Lennie Mayne,Brian Hayles,13 April 1974 (1974-04-13),YYY,7.2,—
73,4,The Monster of Peladon,"""Part Five""",Lennie Mayne,Brian Hayles,20 April 1974 (1974-04-20),YYY,7.5,—
73,4,The Monster of Peladon,"""Part Six""",Lennie Mayne,Brian Hayles,27 April 1974 (1974-04-27),YYY,8.1,—
74,5,Planet of the Spiders,"""Part One""",Barry Letts,Robert Sloman and Barry Letts (uncredited),4 May 1974 (1974-05-04),ZZZ,10.1,58
74,5,Planet of the Spiders,"""Part Two""",Barry Letts,Robert Sloman and Barry Letts (uncredited),11 May 1974 (1974-05-11),ZZZ,8.9,60
74,5,Planet of the Spiders,"""Part Three""",Barry Letts,Robert Sloman and Barry Letts (uncredited),18 May 1974 (1974-05-18),ZZZ,8.8,57
74,5,Planet of the Spiders,"""Part Four""",Barry Letts,Robert Sloman and Barry Letts (uncredited),25 May 1974 (1974-05-25),ZZZ,8.2,—
74,5,Planet of the Spiders,"""Part Five""",Barry Letts,Robert Sloman and Barry Letts (uncredited),1 June 1974 (1974-06-01),ZZZ,9.2,—
74,5,Planet of the Spiders,"""Part Six""",Barry Letts,Robert Sloman and Barry Letts (uncredited),8 June 1974 (1974-06-08),ZZZ,8.9,56
