"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
148,1,Remembrance of the Daleks,"""Part One""",Andrew Morgan,Ben Aaronovitch,5 October 1988 (1988-10-05),7H,5.5,68
148,1,Remembrance of the Daleks,"""Part Two""",Andrew Morgan,Ben Aaronovitch,12 October 1988 (1988-10-12),7H,5.8,69
148,1,Remembrance of the Daleks,"""Part Three""",Andrew Morgan,Ben Aaronovitch,19 October 1988 (1988-10-19),7H,5.1,70
148,1,Remembrance of the Daleks,"""Part Four""",Andrew Morgan,Ben Aaronovitch,26 October 1988 (1988-10-26),7H,5.0,72
149,2,The Happiness Patrol,"""Part One""",Chris Clough,Graeme Curry,2 November 1988 (1988-11-02),7L,5.3,67
149,2,The Happiness Patrol,"""Part Two""",Chris Clough,Graeme Curry,9 November 1988 (1988-11-09),7L,4.6,65
149,2,The Happiness Patrol,"""Part Three""",Chris Clough,Graeme Curry,16 November 1988 (1988-11-16),7L,5.3,65
150,3,Silver Nemesis,"""Part One""",Chris Clough,Kevin Clarke,23 November 1988 (1988-11-23),7K,6.1,71
150,3,Silver Nemesis,"""Part Two""",Chris Clough,Kevin Clarke,30 November 1988 (1988-11-30),7K,5.2,70
150,3,Silver Nemesis,"""Part Three""",Chris Clough,Kevin Clarke,7 December 1988 (1988-12-07),7K,5.2,70
151,4,The Greatest Show in the Galaxy,"""Part One""",Alan Wareing,Stephen Wyatt,14 December 1988 (1988-12-14),7J,5.0,68
151,4,The Greatest Show in the Galaxy,"""Part Two""",Alan Wareing,Stephen Wyatt,21 December 1988 (1988-12-21),7J,5.3,66
151,4,The Greatest Show in the Galaxy,"""Part Three""",Alan Wareing,Stephen Wyatt,28 December 1988 (1988-12-28),7J,4.8,69
151,4,The Greatest Show in the Galaxy,"""Part Four""",Alan Wareing,Stephen Wyatt,4 January 1989 (1989-01-04),7J,6.6,64
