"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
104,1,Destiny of the Daleks,"""Episode One""",Ken Grieve,Terry Nation,1 September 1979 (1979-09-01),5J,13.0,67
104,1,Destiny of the Daleks,"""Episode Two""",Ken Grieve,Terry Nation,8 September 1979 (1979-09-08),5J,12.7,—
104,1,Destiny of the Daleks,"""Episode Three""",Ken Grieve,Terry Nation,15 September 1979 (1979-09-15),5J,13.8,63
104,1,Destiny of the Daleks,"""Episode Four""",Ken Grieve,Terry Nation,22 September 1979 (1979-09-22),5J,14.4,64
105,2,City of Death,"""Part One""",Michael Hayes,"""David Agnew"" (Douglas Adams,
Graham Williams, and David Fisher)",29 September 1979 (1979-09-29),5H,12.4,—
105,2,City of Death,"""Part Two""",Michael Hayes,"""David Agnew"" (Douglas Adams,
Graham Williams, and David Fisher)",6 October 1979 (1979-10-06),5H,14.1,64
105,2,City of Death,"""Part Three""",Michael Hayes,"""David Agnew"" (Douglas Adams,
Graham Williams, and David Fisher)",13 October 1979 (1979-10-13),5H,15.4,—
105,2,City of Death,"""Part Four""",Michael Hayes,"""David Agnew"" (Douglas Adams,
Graham Williams, and David Fisher)",20 October 1979 (1979-10-20),5H,16.1,64
106,3,The Creature from the Pit,"""Part One""",Christopher Barry,David Fisher,27 October 1979 (1979-10-27),5G,9.3,—
106,3,The Creature from the Pit,"""Part Two""",Christopher Barry,David Fisher,3 November 1979 (1979-11-03),5G,10.8,67
106,3,The Creature from the Pit,"""Part Three""",Christopher Barry,David Fisher,10 November 1979 (1979-11-10),5G,10.2,—
106,3,The Creature from the Pit,"""Part Four""",Christopher Barry,David Fisher,17 November 1979 (1979-11-17),5G,9.6,—
107,4,Nightmare of Eden,"""Part One""",Alan Bromly,Bob Baker,24 November 1979 (1979-11-24),5K,8.7,—
107,4,Nightmare of Eden,"""Part Two""",Alan Bromly,Bob Baker,1 December 1979 (1979-12-01),5K,9.6,—
107,4,Nightmare of Eden,"""Part Three""",Alan Bromly,Bob Baker,8 December 1979 (1979-12-08),5K,9.6,—
107,4,Nightmare of Eden,"""Part Four""",Alan Bromly,Bob Baker,15 December 1979 (1979-12-15),5K,9.4,65
108,5,The Horns of Nimon,"""Part One""",Kenny McBain,Anthony Read,22 December 1979 (1979-12-22),5L,6.0,—
108,5,The Horns of Nimon,"""Part Two""",Kenny McBain,Anthony Read,29 December 1979 (1979-12-29),5L,8.8,—
108,5,The Horns of Nimon,"""Part Three""",Kenny McBain,Anthony Read,5 January 1980 (1980-01-05),5L,9.8,—
108,5,The Horns of Nimon,"""Part Four""",Kenny McBain,Anthony Read,12 January 1980 (1980-01-12),5L,10.4,67
—,—,Shada,N/A,Pennant Roberts,Douglas Adams,19 July 2018 (2018-07-19),5M,—,—
