"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
60,1,Day of the Daleks,"""Episode One""",Paul Bernard,Louis Marks,1 January 1972 (1972-01-01),KKK,9.8,—
60,1,Day of the Daleks,"""Episode Two""",Paul Bernard,Louis Marks,8 January 1972 (1972-01-08),KKK,10.4,—
60,1,Day of the Daleks,"""Episode Three""",Paul Bernard,Louis Marks,15 January 1972 (1972-01-15),KKK,9.1,—
60,1,Day of the Daleks,"""Episode Four""",Paul Bernard,Louis Marks,22 January 1972 (1972-01-22),KKK,9.1,—
61,2,The Curse of Peladon,"""Episode One""",Lennie Mayne,Brian Hayles,29 January 1972 (1972-01-29),MMM,10.3,—
61,2,The Curse of Peladon,"""Episode Two""",Lennie Mayne,Brian Hayles,5 February 1972 (1972-02-05),MMM,11.0,—
61,2,The Curse of Peladon,"""Episode Three""",Lennie Mayne,Brian Hayles,12 February 1972 (1972-02-12),MMM,7.8,—
61,2,The Curse of Peladon,"""Episode Four""",Lennie Mayne,Brian Hayles,19 February 1972 (1972-02-19),MMM,8.4,—
62,3,The Sea Devils,"""Episode One""",Michael E. Briant,Malcolm Hulke,26 February 1972 (1972-02-26),LLL,6.4,—
62,3,The Sea Devils,"""Episode Two""",Michael E. Briant,Malcolm Hulke,4 March 1972 (1972-03-04),LLL,9.7,—
62,3,The Sea Devils,"""Episode Three""",Michael E. Briant,Malcolm Hulke,11 March 1972 (1972-03-11),LLL,8.3,—
62,3,The Sea Devils,"""Episode Four""",Michael E. Briant,Malcolm Hulke,18 March 1972 (1972-03-18),LLL,7.8,—
62,3,The Sea Devils,"""Episode Five""",Michael E. Briant,Malcolm Hulke,25 March 1972 (1972-03-25),LLL,8.3,—
62,3,The Sea Devils,"""Episode Six""",Michael E. Briant,Malcolm Hulke,1 April 1972 (1972-04-01),LLL,8.5,—
63,4,The Mutants,"""Episode One""",Christopher Barry,Bob Baker and Dave Martin,8 April 1972 (1972-04-08),NNN,9.1,—
63,4,The Mutants,"""Episode Two""",Christopher Barry,Bob Baker and Dave Martin,15 April 1972 (1972-04-15),NNN,7.8,—
63,4,The Mutants,"""Episode Three""",Christopher Barry,Bob Baker and Dave Martin,22 April 1972 (1972-04-22),NNN,7.9,—
63,4,The Mutants,"""Episode Four""",Christopher Barry,Bob Baker and Dave Martin,29 April 1972 (1972-04-29),NNN,7.5,—
63,4,The Mutants,"""Episode Five""",Christopher Barry,Bob Baker and Dave Martin,6 May 1972 (1972-05-06),NNN,7.9,—
63,4,The Mutants,"""Episode Six""",Christopher Barry,Bob Baker and Dave Martin,13 May 1972 (1972-05-13),NNN,6.5,—
64,5,The Time Monster,"""Episode One""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),20 May 1972 (1972-05-20),OOO,7.6,—
64,5,The Time Monster,"""Episode Two""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),27 May 1972 (1972-05-27),OOO,7.4,—
64,5,The Time Monster,"""Episode Three""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),3 June 1972 (1972-06-03),OOO,8.1,—
64,5,The Time Monster,"""Episode Four""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),10 June 1972 (1972-06-10),OOO,7.6,—
64,5,The Time Monster,"""Episode Five""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),17 June 1972 (1972-06-17),OOO,6.0,—
64,5,The Time Monster,"""Episode Six""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),24 June 1972 (1972-06-24),OOO,7.6,—
