"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
9,1,Planet of Giants,"""Planet of Giants""",Mervyn Pinfield,Louis Marks,31 October 1964 (1964-10-31),J,8.4,57
9,1,Planet of Giants,"""Dangerous Journey""",Mervyn Pinfield,Louis Marks,7 November 1964 (1964-11-07),J,8.4,58
9,1,Planet of Giants,"""Crisis""",Douglas Camfield,Louis Marks,14 November 1964 (1964-11-14),J,8.9,59
10,2,The Dalek Invasion of Earth,"""World's End""",Richard Martin,Terry Nation,21 November 1964 (1964-11-21),K,11.4,63
10,2,The Dalek Invasion of Earth,"""The Daleks""",Richard Martin,Terry Nation,28 November 1964 (1964-11-28),K,12.4,59
10,2,The Dalek Invasion of Earth,"""Day of Reckoning""",Richard Martin,Terry Nation,5 December 1964 (1964-12-05),K,11.9,59
10,2,The Dalek Invasion of Earth,"""The End of Tomorrow""",Richard Martin,Terry Nation,12 December 1964 (1964-12-12),K,11.9,59
10,2,The Dalek Invasion of Earth,"""The Waking Ally""",Richard Martin,Terry Nation,19 December 1964 (1964-12-19),K,11.4,58
10,2,The Dalek Invasion of Earth,"""Flashpoint""",Richard Martin,Terry Nation,26 December 1964 (1964-12-26),K,12.4,63
11,3,The Rescue,"""The Powerful Enemy""",Christopher Barry,David Whitaker,2 January 1965 (1965-01-02),L,12.0,57
11,3,The Rescue,"""Desperate Measures""",Christopher Barry,David Whitaker,9 January 1965 (1965-01-09),L,13.0,59
12,4,The Romans,"""The Slave Traders""",Christopher Barry,Dennis Spooner,16 January 1965 (1965-01-16),M,13.0,53
12,4,The Romans,"""All Roads Lead to Rome""",Christopher Barry,Dennis Spooner,23 January 1965 (1965-01-23),M,11.5,51
12,4,The Romans,"""Conspiracy""",Christopher Barry,Dennis Spooner,30 January 1965 (1965-01-30),M,10.0,50
12,4,The Romans,"""Inferno""",Christopher Barry,Dennis Spooner,6 February 1965 (1965-02-06),M,12.0,50
13,5,The Web Planet,"""The Web Planet""",Richard Martin,Bill Strutton,13 February 1965 (1965-02-13),N,13.5,56
13,5,The Web Planet,"""The Zarbi""",Richard Martin,Bill Strutton,20 February 1965 (1965-02-20),N,12.5,53
13,5,The Web Planet,"""Escape to Danger""",Richard Martin,Bill Strutton,27 February 1965 (1965-02-27),N,12.5,53
13,5,The Web Planet,"""Crater of Needles""",Richard Martin,Bill Strutton,6 March 1965 (1965-03-06),N,13.0,49
13,5,The Web Planet,"""Invasion""",Richard Martin,Bill Strutton,13 March 1965 (1965-03-13),N,12.0,48
13,5,The Web Planet,"""The Centre""",Richard Martin,Bill Strutton,20 March 1965 (1965-03-20),N,11.5,42
14,6,The Crusade,"""The Lion""",Douglas Camfield,David Whitaker,27 March 1965 (1965-03-27),P,10.5,51
14,6,The Crusade,"""The Knight of Jaffa""†",Douglas Camfield,David Whitaker,3 April 1965 (1965-04-03),P,8.5,50
14,6,The Crusade,"""The Wheel of Fortune""",Douglas Camfield,David Whitaker,10 April 1965 (1965-04-10),P,9.0,49
14,6,The Crusade,"""The Warlords""†",Douglas Camfield,David Whitaker,17 April 1965 (1965-04-17),P,9.5,48
15,7,The Space Museum,"""The Space Museum""",Mervyn Pinfield,Glyn Jones,24 April 1965 (1965-04-24),Q,10.5,61
15,7,The Space Museum,"""The Dimensions of Time""",Mervyn Pinfield,Glyn Jones,1 May 1965 (1965-05-01),Q,9.2,53
15,7,The Space Museum,"""The Search""",Mervyn Pinfield,Glyn Jones,8 May 1965 (1965-05-08),Q,8.5,56
15,7,The Space Museum,"""The Final Phase""",Mervyn Pinfield,Glyn Jones,15 May 1965 (1965-05-15),Q,8.5,49
16,8,The Chase,"""The Executioners""",Richard Martin,Terry Nation,22 May 1965 (1965-05-22),R,10.0,57
16,8,The Chase,"""The Death of Time""",Richard Martin,Terry Nation,29 May 1965 (1965-05-29),R,9.5,56
16,8,The Chase,"""Flight Through Eternity""",Richard Martin,Terry Nation,5 June 1965 (1965-06-05),R,9.0,55
16,8,The Chase,"""Journey into Terror""",Richard Martin,Terry Nation,12 June 1965 (1965-06-12),R,9.5,54
16,8,The Chase,"""The Death of Doctor Who""",Richard Martin,Terry Nation,19 June 1965 (1965-06-19),R,9.0,56
16,8,The Chase,"""The Planet of Decision""",Richard Martin,Terry Nation,26 June 1965 (1965-06-26),R,9.5,57
17,9,The Time Meddler,"""The Watcher""",Douglas Camfield,Dennis Spooner,3 July 1965 (1965-07-03),S,8.9,57
17,9,The Time Meddler,"""The Meddling Monk""",Douglas Camfield,Dennis Spooner,10 July 1965 (1965-07-10),S,8.8,49
17,9,The Time Meddler,"""A Battle of Wits""",Douglas Camfield,Dennis Spooner,17 July 1965 (1965-07-17),S,7.7,53
17,9,The Time Meddler,"""Checkmate""",Douglas Camfield,Dennis Spooner,24 July 1965 (1965-07-24),S,8.3,54
