"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
55,1,Terror of the Autons,"""Episode One""",Barry Letts,Robert Holmes,2 January 1971 (1971-01-02),EEE,7.3,—
55,1,Terror of the Autons,"""Episode Two""",Barry Letts,Robert Holmes,9 January 1971 (1971-01-09),EEE,8.0,—
55,1,Terror of the Autons,"""Episode Three""",Barry Letts,Robert Holmes,16 January 1971 (1971-01-16),EEE,8.1,—
55,1,Terror of the Autons,"""Episode Four""",Barry Letts,Robert Holmes,23 January 1971 (1971-01-23),EEE,8.4,—
56,2,The Mind of Evil,"""Episode One""",Timothy Combe,Don Houghton,30 January 1971 (1971-01-30),FFF,6.1,—
56,2,The Mind of Evil,"""Episode Two""",Timothy Combe,Don Houghton,6 February 1971 (1971-02-06),FFF,8.8,—
56,2,The Mind of Evil,"""Episode Three""",Timothy Combe,Don Houghton,13 February 1971 (1971-02-13),FFF,7.5,—
56,2,The Mind of Evil,"""Episode Four""",Timothy Combe,Don Houghton,20 February 1971 (1971-02-20),FFF,7.4,—
56,2,The Mind of Evil,"""Episode Five""",Timothy Combe,Don Houghton,27 February 1971 (1971-02-27),FFF,7.6,—
56,2,The Mind of Evil,"""Episode Six""",Timothy Combe,Don Houghton,6 March 1971 (1971-03-06),FFF,7.3,—
57,3,The Claws of Axos,"""Episode One""",Michael Ferguson,Bob Baker and Dave Martin,13 March 1971 (1971-03-13),GGG,7.3,—
57,3,The Claws of Axos,"""Episode Two""",Michael Ferguson,Bob Baker and Dave Martin,20 March 1971 (1971-03-20),GGG,8.0,—
57,3,The Claws of Axos,"""Episode Three""",Michael Ferguson,Bob Baker and Dave Martin,27 March 1971 (1971-03-27),GGG,6.4,—
57,3,The Claws of Axos,"""Episode Four""",Michael Ferguson,Bob Baker and Dave Martin,3 April 1971 (1971-04-03),GGG,7.8,—
58,4,Colony in Space,"""Episode One""",Michael E. Briant,Malcolm Hulke,10 April 1971 (1971-04-10),HHH,7.6,—
58,4,Colony in Space,"""Episode Two""",Michael E. Briant,Malcolm Hulke,17 April 1971 (1971-04-17),HHH,8.5,—
58,4,Colony in Space,"""Episode Three""",Michael E. Briant,Malcolm Hulke,24 April 1971 (1971-04-24),HHH,9.5,—
58,4,Colony in Space,"""Episode Four""",Michael E. Briant,Malcolm Hulke,1 May 1971 (1971-05-01),HHH,8.1,—
58,4,Colony in Space,"""Episode Five""",Michael E. Briant,Malcolm Hulke,8 May 1971 (1971-05-08),HHH,8.8,—
58,4,Colony in Space,"""Episode Six""",Michael E. Briant,Malcolm Hulke,15 May 1971 (1971-05-15),HHH,8.7,—
59,5,The Dæmons,"""Episode One""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),22 May 1971 (1971-05-22),JJJ,9.2,—
59,5,The Dæmons,"""Episode Two""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),29 May 1971 (1971-05-29),JJJ,8.0,—
59,5,The Dæmons,"""Episode Three""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),5 June 1971 (1971-06-05),JJJ,8.1,—
59,5,The Dæmons,"""Episode Four""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),12 June 1971 (1971-06-12),JJJ,8.1,—
59,5,The Dæmons,"""Episode Five""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),19 June 1971 (1971-06-19),JJJ,8.3,—
