"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
98,1,The Ribos Operation,"""Part One""",George Spenton-Foster,Robert Holmes,2 September 1978 (1978-09-02),5A,8.3,59
98,1,The Ribos Operation,"""Part Two""",George Spenton-Foster,Robert Holmes,9 September 1978 (1978-09-09),5A,8.1,—
98,1,The Ribos Operation,"""Part Three""",George Spenton-Foster,Robert Holmes,16 September 1978 (1978-09-16),5A,7.9,—
98,1,The Ribos Operation,"""Part Four""",George Spenton-Foster,Robert Holmes,23 September 1978 (1978-09-23),5A,8.2,67
99,2,The Pirate Planet,"""Part One""",Pennant Roberts,Douglas Adams,30 September 1978 (1978-09-30),5B,9.1,61
99,2,The Pirate Planet,"""Part Two""",Pennant Roberts,Douglas Adams,7 October 1978 (1978-10-07),5B,7.4,—
99,2,The Pirate Planet,"""Part Three""",Pennant Roberts,Douglas Adams,14 October 1978 (1978-10-14),5B,8.2,64
99,2,The Pirate Planet,"""Part Four""",Pennant Roberts,Douglas Adams,21 October 1978 (1978-10-21),5B,8.4,64
100,3,The Stones of Blood,"""Part One""",Darrol Blake,David Fisher,28 October 1978 (1978-10-28),5C,8.6,—
100,3,The Stones of Blood,"""Part Two""",Darrol Blake,David Fisher,4 November 1978 (1978-11-04),5C,6.6,—
100,3,The Stones of Blood,"""Part Three""",Darrol Blake,David Fisher,11 November 1978 (1978-11-11),5C,9.3,—
100,3,The Stones of Blood,"""Part Four""",Darrol Blake,David Fisher,18 November 1978 (1978-11-18),5C,7.6,67
101,4,The Androids of Tara,"""Part One""",Michael Hayes,David Fisher,25 November 1978 (1978-11-25),5D,9.5,—
101,4,The Androids of Tara,"""Part Two""",Michael Hayes,David Fisher,2 December 1978 (1978-12-02),5D,10.1,65
101,4,The Androids of Tara,"""Part Three""",Michael Hayes,David Fisher,9 December 1978 (1978-12-09),5D,8.9,—
101,4,The Androids of Tara,"""Part Four""",Michael Hayes,David Fisher,16 December 1978 (1978-12-16),5D,9.0,66
102,5,The Power of Kroll,"""Part One""",Norman Stewart,Robert Holmes,23 December 1978 (1978-12-23),5E,6.5,—
102,5,The Power of Kroll,"""Part Two""",Norman Stewart,Robert Holmes,30 December 1978 (1978-12-30),5E,12.4,—
102,5,The Power of Kroll,"""Part Three""",Norman Stewart,Robert Holmes,6 January 1979 (1979-01-06),5E,8.9,—
102,5,The Power of Kroll,"""Part Four""",Norman Stewart,Robert Holmes,13 January 1979 (1979-01-13),5E,9.9,63
103,6,The Armageddon Factor,"""Part One""",Michael Hayes,Bob Baker and Dave Martin,20 January 1979 (1979-01-20),5F,7.5,65
103,6,The Armageddon Factor,"""Part Two""",Michael Hayes,Bob Baker and Dave Martin,27 January 1979 (1979-01-27),5F,8.8,—
103,6,The Armageddon Factor,"""Part Three""",Michael Hayes,Bob Baker and Dave Martin,3 February 1979 (1979-02-03),5F,7.8,—
103,6,The Armageddon Factor,"""Part Four""",Michael Hayes,Bob Baker and Dave Martin,10 February 1979 (1979-02-10),5F,8.6,—
103,6,The Armageddon Factor,"""Part Five""",Michael Hayes,Bob Baker and Dave Martin,17 February 1979 (1979-02-17),5F,8.6,—
103,6,The Armageddon Factor,"""Part Six""",Michael Hayes,Bob Baker and Dave Martin,24 February 1979 (1979-02-24),5F,9.6,66
