"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
51,1,Spearhead from Space,"""Episode 1""",Derek Martinus,Robert Holmes,3 January 1970 (1970-01-03),AAA,8.4,54
51,1,Spearhead from Space,"""Episode 2""",Derek Martinus,Robert Holmes,10 January 1970 (1970-01-10),AAA,8.1,—
51,1,Spearhead from Space,"""Episode 3""",Derek Martinus,Robert Holmes,17 January 1970 (1970-01-17),AAA,8.3,—
51,1,Spearhead from Space,"""Episode 4""",Derek Martinus,Robert Holmes,24 January 1970 (1970-01-24),AAA,8.1,57
52,2,Doctor Who and the Silurians,"""Episode 1""",Timothy Combe,Malcolm Hulke,31 January 1970 (1970-01-31),BBB,8.8,58
52,2,Doctor Who and the Silurians,"""Episode 2""",Timothy Combe,Malcolm Hulke,7 February 1970 (1970-02-07),BBB,7.3,58
52,2,Doctor Who and the Silurians,"""Episode 3""",Timothy Combe,Malcolm Hulke,14 February 1970 (1970-02-14),BBB,7.5,57
52,2,Doctor Who and the Silurians,"""Episode 4""",Timothy Combe,Malcolm Hulke,21 February 1970 (1970-02-21),BBB,8.2,60
52,2,Doctor Who and the Silurians,"""Episode 5""",Timothy Combe,Malcolm Hulke,28 February 1970 (1970-02-28),BBB,7.5,58
52,2,Doctor Who and the Silurians,"""Episode 6""",Timothy Combe,Malcolm Hulke,7 March 1970 (1970-03-07),BBB,7.2,57
52,2,Doctor Who and the Silurians,"""Episode 7""",Timothy Combe,Malcolm Hulke,14 March 1970 (1970-03-14),BBB,7.5,58
53,3,The Ambassadors of Death,"""Episode 1""",Michael Ferguson,David Whitaker and Trevor Ray (uncredited),21 March 1970 (1970-03-21),CCC,7.1,60
53,3,The Ambassadors of Death,"""Episode 2""",Michael Ferguson,David Whitaker and Malcolm Hulke (uncredited),28 March 1970 (1970-03-28),CCC,7.6,61
53,3,The Ambassadors of Death,"""Episode 3""",Michael Ferguson,David Whitaker and Malcolm Hulke (uncredited),4 April 1970 (1970-04-04),CCC,8.0,59
53,3,The Ambassadors of Death,"""Episode 4""",Michael Ferguson,Malcolm Hulke (credited to David Whitaker),11 April 1970 (1970-04-11),CCC,9.3,58
53,3,The Ambassadors of Death,"""Episode 5""",Michael Ferguson,Malcolm Hulke (credited to David Whitaker),18 April 1970 (1970-04-18),CCC,7.1,—
53,3,The Ambassadors of Death,"""Episode 6""",Michael Ferguson,Malcolm Hulke (credited to David Whitaker),25 April 1970 (1970-04-25),CCC,6.9,61
53,3,The Ambassadors of Death,"""Episode 7""",Michael Ferguson,Malcolm Hulke (credited to David Whitaker),2 May 1970 (1970-05-02),CCC,6.4,62
54,4,Inferno,"""Episode 1""",Douglas Camfield,Don Houghton,9 May 1970 (1970-05-09),DDD,5.7,61
54,4,Inferno,"""Episode 2""",Douglas Camfield,Don Houghton,16 May 1970 (1970-05-16),DDD,5.9,61
54,4,Inferno,"""Episode 3""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,23 May 1970 (1970-05-23),DDD,4.8,60
54,4,Inferno,"""Episode 4""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,30 May 1970 (1970-05-30),DDD,6.0,60
54,4,Inferno,"""Episode 5""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,6 June 1970 (1970-06-06),DDD,5.4,—
54,4,Inferno,"""Episode 6""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,13 June 1970 (1970-06-13),DDD,6.7,58
54,4,Inferno,"""Episode 7""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,20 June 1970 (1970-06-20),DDD,5.5,60
