"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
116,1,Castrovalva,"""Part One""",Fiona Cumming,Christopher H. Bidmead,4 January 1982 (1982-01-04),5Z,9.1,–
116,1,Castrovalva,"""Part Two""",Fiona Cumming,Christopher H. Bidmead,5 January 1982 (1982-01-05),5Z,8.6,–
116,1,Castrovalva,"""Part Three""",Fiona Cumming,Christopher H. Bidmead,11 January 1982 (1982-01-11),5Z,10.2,–
116,1,Castrovalva,"""Part Four""",Fiona Cumming,Christopher H. Bidmead,12 January 1982 (1982-01-12),5Z,10.4,–
117,2,Four to Doomsday,"""Part One""",John Black,Terence Dudley,18 January 1982 (1982-01-18),5W,8.4,–
117,2,Four to Doomsday,"""Part Two""",John Black,Terence Dudley,19 January 1982 (1982-01-19),5W,8.8,–
117,2,Four to Doomsday,"""Part Three""",John Black,Terence Dudley,25 January 1982 (1982-01-25),5W,8.9,–
117,2,Four to Doomsday,"""Part Four""",John Black,Terence Dudley,26 January 1982 (1982-01-26),5W,9.4,–
118,3,Kinda,"""Part One""",Peter Grimwade,Christopher Bailey,1 February 1982 (1982-02-01),5Y,8.4,–
118,3,Kinda,"""Part Two""",Peter Grimwade,Christopher Bailey,2 February 1982 (1982-02-02),5Y,9.4,–
118,3,Kinda,"""Part Three""",Peter Grimwade,Christopher Bailey,8 February 1982 (1982-02-08),5Y,8.5,–
118,3,Kinda,"""Part Four""",Peter Grimwade,Christopher Bailey,9 February 1982 (1982-02-09),5Y,8.9,–
119,4,The Visitation,"""Part One""",Peter Moffatt,Eric Saward,15 February 1982 (1982-02-15),5X,9.1,–
119,4,The Visitation,"""Part Two""",Peter Moffatt,Eric Saward,16 February 1982 (1982-02-16),5X,9.3,–
119,4,The Visitation,"""Part Three""",Peter Moffatt,Eric Saward,22 February 1982 (1982-02-22),5X,9.9,–
119,4,The Visitation,"""Part Four""",Peter Moffatt,Eric Saward,23 February 1982 (1982-02-23),5X,10.1,–
120,5,Black Orchid,"""Part One""",Ron Jones,Terence Dudley,1 March 1982 (1982-03-01),6A,9.9,–
120,5,Black Orchid,"""Part Two""",Ron Jones,Terence Dudley,2 March 1982 (1982-03-02),6A,10.1,–
121,6,Earthshock,"""Part One""",Peter Grimwade,Eric Saward,8 March 1982 (1982-03-08),6B,9.1,–
121,6,Earthshock,"""Part Two""",Peter Grimwade,Eric Saward,9 March 1982 (1982-03-09),6B,8.8,–
121,6,Earthshock,"""Part Three""",Peter Grimwade,Eric Saward,15 March 1982 (1982-03-15),6B,9.8,–
121,6,Earthshock,"""Part Four""",Peter Grimwade,Eric Saward,16 March 1982 (1982-03-16),6B,9.6,–
122,7,Time-Flight,"""Part One""",Ron Jones,Peter Grimwade,22 March 1982 (1982-03-22),6C,10.0,–
122,7,Time-Flight,"""Part Two""",Ron Jones,Peter Grimwade,23 March 1982 (1982-03-23),6C,8.5,–
122,7,Time-Flight,"""Part Three""",Ron Jones,Peter Grimwade,29 March 1982 (1982-03-29),6C,8.9,–
122,7,Time-Flight,"""Part Four""",Ron Jones,Peter Grimwade,30 March 1982 (1982-03-30),6C,8.1,–
