"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
80,1,Terror of the Zygons,"""Part One""",Douglas Camfield,Robert Banks Stewart,30 August 1975 (1975-08-30),4F,8.4,59
80,1,Terror of the Zygons,"""Part Two""",Douglas Camfield,Robert Banks Stewart,6 September 1975 (1975-09-06),4F,6.1,—
80,1,Terror of the Zygons,"""Part Three""",Douglas Camfield,Robert Banks Stewart,13 September 1975 (1975-09-13),4F,8.2,54
80,1,Terror of the Zygons,"""Part Four""",Douglas Camfield,Robert Banks Stewart,20 September 1975 (1975-09-20),4F,7.2,—
81,2,Planet of Evil,"""Part One""",David Maloney,Louis Marks,27 September 1975 (1975-09-27),4H,10.4,56
81,2,Planet of Evil,"""Part Two""",David Maloney,Louis Marks,4 October 1975 (1975-10-04),4H,9.9,56
81,2,Planet of Evil,"""Part Three""",David Maloney,Louis Marks,11 October 1975 (1975-10-11),4H,9.1,57
81,2,Planet of Evil,"""Part Four""",David Maloney,Louis Marks,18 October 1975 (1975-10-18),4H,10.1,54
82,3,Pyramids of Mars,"""Part One""",Paddy Russell,"""Stephen Harris""
(Lewis Greifer and Robert Holmes)",25 October 1975 (1975-10-25),4G,10.5,—
82,3,Pyramids of Mars,"""Part Two""",Paddy Russell,"""Stephen Harris""
(Lewis Greifer and Robert Holmes)",1 November 1975 (1975-11-01),4G,11.3,—
82,3,Pyramids of Mars,"""Part Three""",Paddy Russell,"""Stephen Harris""
(Lewis Greifer and Robert Holmes)",8 November 1975 (1975-11-08),4G,9.4,—
82,3,Pyramids of Mars,"""Part Four""",Paddy Russell,"""Stephen Harris""
(Lewis Greifer and Robert Holmes)",15 November 1975 (1975-11-15),4G,11.7,60
83,4,The Android Invasion,"""Part One""",Barry Letts,Terry Nation,22 November 1975 (1975-11-22),4J,11.9,58
83,4,The Android Invasion,"""Part Two""",Barry Letts,Terry Nation,29 November 1975 (1975-11-29),4J,11.3,—
83,4,The Android Invasion,"""Part Three""",Barry Letts,Terry Nation,6 December 1975 (1975-12-06),4J,12.1,—
83,4,The Android Invasion,"""Part Four""",Barry Letts,Terry Nation,13 December 1975 (1975-12-13),4J,11.4,—
84,5,The Brain of Morbius,"""Part One""",Christopher Barry,"""Robin Bland""
(Terrance Dicks and Robert Holmes)",3 January 1976 (1976-01-03),4K,9.5,—
84,5,The Brain of Morbius,"""Part Two""",Christopher Barry,"""Robin Bland""
(Terrance Dicks and Robert Holmes)",10 January 1976 (1976-01-10),4K,9.3,—
84,5,The Brain of Morbius,"""Part Three""",Christopher Barry,"""Robin Bland""
(Terrance Dicks and Robert Holmes)",17 January 1976 (1976-01-17),4K,10.1,57
84,5,The Brain of Morbius,"""Part Four""",Christopher Barry,"""Robin Bland""
(Terrance Dicks and Robert Holmes)",24 January 1976 (1976-01-24),4K,10.2,—
85,6,The Seeds of Doom,"""Part One""",Douglas Camfield,Robert Banks Stewart,31 January 1976 (1976-01-31),4L,11.4,59
85,6,The Seeds of Doom,"""Part Two""",Douglas Camfield,Robert Banks Stewart,7 February 1976 (1976-02-07),4L,11.4,—
85,6,The Seeds of Doom,"""Part Three""",Douglas Camfield,Robert Banks Stewart,14 February 1976 (1976-02-14),4L,10.3,—
85,6,The Seeds of Doom,"""Part Four""",Douglas Camfield,Robert Banks Stewart,21 February 1976 (1976-02-21),4L,11.1,—
85,6,The Seeds of Doom,"""Part Five""",Douglas Camfield,Robert Banks Stewart,28 February 1976 (1976-02-28),4L,9.9,—
85,6,The Seeds of Doom,"""Part Six""",Douglas Camfield,Robert Banks Stewart,6 March 1976 (1976-03-06),4L,11.5,—
