"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
123,1,Arc of Infinity,"""Part One""",Ron Jones,Johnny Byrne,3 January 1983 (1983-01-03),6E,7.2,69
123,1,Arc of Infinity,"""Part Two""",Ron Jones,Johnny Byrne,5 January 1983 (1983-01-05),6E,7.3,70
123,1,Arc of Infinity,"""Part Three""",Ron Jones,Johnny Byrne,11 January 1983 (1983-01-11),6E,6.9,67
123,1,Arc of Infinity,"""Part Four""",Ron Jones,Johnny Byrne,12 January 1983 (1983-01-12),6E,7.2,66
124,2,Snakedance,"""Part One""",Fiona Cumming,Christopher Bailey,18 January 1983 (1983-01-18),6D,6.7,65
124,2,Snakedance,"""Part Two""",Fiona Cumming,Christopher Bailey,19 January 1983 (1983-01-19),6D,7.7,66
124,2,Snakedance,"""Part Three""",Fiona Cumming,Christopher Bailey,25 January 1983 (1983-01-25),6D,6.6,67
124,2,Snakedance,"""Part Four""",Fiona Cumming,Christopher Bailey,26 January 1983 (1983-01-26),6D,7.4,67
125,3,Mawdryn Undead,"""Part One""",Peter Moffatt,Peter Grimwade,1 February 1983 (1983-02-01),6F,6.5,67
125,3,Mawdryn Undead,"""Part Two""",Peter Moffatt,Peter Grimwade,2 February 1983 (1983-02-02),6F,7.5,70
125,3,Mawdryn Undead,"""Part Three""",Peter Moffatt,Peter Grimwade,8 February 1983 (1983-02-08),6F,7.4,67
125,3,Mawdryn Undead,"""Part Four""",Peter Moffatt,Peter Grimwade,9 February 1983 (1983-02-09),6F,7.7,68
126,4,Terminus,"""Part One""",Mary Ridge,Stephen Gallagher,15 February 1983 (1983-02-15),6G,6.8,65
126,4,Terminus,"""Part Two""",Mary Ridge,Stephen Gallagher,16 February 1983 (1983-02-16),6G,7.5,67
126,4,Terminus,"""Part Three""",Mary Ridge,Stephen Gallagher,22 February 1983 (1983-02-22),6G,6.5,64
126,4,Terminus,"""Part Four""",Mary Ridge,Stephen Gallagher,23 February 1983 (1983-02-23),6G,7.4,67
127,5,Enlightenment,"""Part One""",Fiona Cumming,Barbara Clegg,1 March 1983 (1983-03-01),6H,6.6,67
127,5,Enlightenment,"""Part Two""",Fiona Cumming,Barbara Clegg,2 March 1983 (1983-03-02),6H,7.2,65
127,5,Enlightenment,"""Part Three""",Fiona Cumming,Barbara Clegg,8 March 1983 (1983-03-08),6H,6.2,68
127,5,Enlightenment,"""Part Four""",Fiona Cumming,Barbara Clegg,9 March 1983 (1983-03-09),6H,7.3,70
128,6,The King's Demons,"""Part One""",Tony Virgo,Terence Dudley,15 March 1983 (1983-03-15),6J,5.8,65
128,6,The King's Demons,"""Part Two""",Tony Virgo,Terence Dudley,16 March 1983 (1983-03-16),6J,7.2,63
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special
129,–,"""The Five Doctors""",N/A,Peter Moffatt,Terrance Dicks,25 November 1983 (1983-11-25),6K,7.7,75
