"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
30,3,The Power of the Daleks,"""Episode One""†",Christopher Barry,David Whitaker and Dennis Spooner (uncredited),5 November 1966 (1966-11-05),EE,7.9,43
30,3,The Power of the Daleks,"""Episode Two""†",Christopher Barry,David Whitaker and Dennis Spooner (uncredited),12 November 1966 (1966-11-12),EE,7.8,45
30,3,The Power of the Daleks,"""Episode Three""†",Christopher Barry,David Whitaker and Dennis Spooner (uncredited),19 November 1966 (1966-11-19),EE,7.5,44
30,3,The Power of the Daleks,"""Episode Four""†",Christopher Barry,David Whitaker and Dennis Spooner (uncredited),26 November 1966 (1966-11-26),EE,7.8,47
30,3,The Power of the Daleks,"""Episode Five""†",Christopher Barry,David Whitaker and Dennis Spooner (uncredited),3 December 1966 (1966-12-03),EE,8.0,48
30,3,The Power of the Daleks,"""Episode Six""†",Christopher Barry,David Whitaker and Dennis Spooner (uncredited),10 December 1966 (1966-12-10),EE,7.8,47
31,4,The Highlanders,"""Episode 1""†",Hugh David,Elwyn Jones and Gerry Davis,17 December 1966 (1966-12-17),FF,6.7,47
31,4,The Highlanders,"""Episode 2""†",Hugh David,Elwyn Jones and Gerry Davis,24 December 1966 (1966-12-24),FF,6.8,46
31,4,The Highlanders,"""Episode 3""†",Hugh David,Elwyn Jones and Gerry Davis,31 December 1966 (1966-12-31),FF,7.4,47
31,4,The Highlanders,"""Episode 4""†",Hugh David,Elwyn Jones and Gerry Davis,7 January 1967 (1967-01-07),FF,7.3,47
32,5,The Underwater Menace,"""Episode 1""†",Julia Smith,Geoffrey Orme,14 January 1967 (1967-01-14),GG,8.3,48
32,5,The Underwater Menace,"""Episode 2""",Julia Smith,Geoffrey Orme,21 January 1967 (1967-01-21),GG,7.5,46
32,5,The Underwater Menace,"""Episode 3""",Julia Smith,Geoffrey Orme,28 January 1967 (1967-01-28),GG,7.1,45
32,5,The Underwater Menace,"""Episode 4""†",Julia Smith,Geoffrey Orme,4 February 1967 (1967-02-04),GG,7.0,47
33,6,The Moonbase,"""Episode 1""†",Morris Barry,Kit Pedler,11 February 1967 (1967-02-11),HH,8.1,50
33,6,The Moonbase,"""Episode 2""",Morris Barry,Kit Pedler,18 February 1967 (1967-02-18),HH,8.9,49
33,6,The Moonbase,"""Episode 3""†",Morris Barry,Kit Pedler,25 February 1967 (1967-02-25),HH,8.2,53
33,6,The Moonbase,"""Episode 4""",Morris Barry,Kit Pedler,4 March 1967 (1967-03-04),HH,8.1,58
34,7,The Macra Terror,"""Episode 1""†",John Davies,Ian Stuart Black,11 March 1967 (1967-03-11),JJ,8.0,50
34,7,The Macra Terror,"""Episode 2""†",John Davies,Ian Stuart Black,18 March 1967 (1967-03-18),JJ,7.9,48
34,7,The Macra Terror,"""Episode 3""†",John Davies,Ian Stuart Black,25 March 1967 (1967-03-25),JJ,8.5,52
34,7,The Macra Terror,"""Episode 4""†",John Davies,Ian Stuart Black,1 April 1967 (1967-04-01),JJ,8.4,49
35,8,The Faceless Ones,"""Episode 1""",Gerry Mill,David Ellis and Malcolm Hulke,8 April 1967 (1967-04-08),KK,8.0,51
35,8,The Faceless Ones,"""Episode 2""†",Gerry Mill,David Ellis and Malcolm Hulke,15 April 1967 (1967-04-15),KK,6.4,50
35,8,The Faceless Ones,"""Episode 3""",Gerry Mill,David Ellis and Malcolm Hulke,22 April 1967 (1967-04-22),KK,7.9,53
35,8,The Faceless Ones,"""Episode 4""†",Gerry Mill,David Ellis and Malcolm Hulke,29 April 1967 (1967-04-29),KK,6.9,55
35,8,The Faceless Ones,"""Episode 5""†",Gerry Mill,David Ellis and Malcolm Hulke,6 May 1967 (1967-05-06),KK,7.1,55
35,8,The Faceless Ones,"""Episode 6""†",Gerry Mill,David Ellis and Malcolm Hulke,13 May 1967 (1967-05-13),KK,8.0,52
36,9,The Evil of the Daleks,"""Episode 1""†",Derek Martinus,David Whitaker,20 May 1967 (1967-05-20),LL,8.1,51
36,9,The Evil of the Daleks,"""Episode 2""",Derek Martinus,David Whitaker,27 May 1967 (1967-05-27),LL,7.5,51
36,9,The Evil of the Daleks,"""Episode 3""†",Derek Martinus,David Whitaker,3 June 1967 (1967-06-03),LL,6.1,52
36,9,The Evil of the Daleks,"""Episode 4""†",Derek Martinus,David Whitaker,10 June 1967 (1967-06-10),LL,5.3,51
36,9,The Evil of the Daleks,"""Episode 5""†",Derek Martinus,David Whitaker,17 June 1967 (1967-06-17),LL,5.1,53
36,9,The Evil of the Daleks,"""Episode 6""†",Derek Martinus,David Whitaker,24 June 1967 (1967-06-24),LL,6.8,49
36,9,The Evil of the Daleks,"""Episode 7""†",Derek Martinus,David Whitaker,1 July 1967 (1967-07-01),LL,6.1,56
