"No.
story","No. in
season",Serial title,Episode titles,Directed by,Written by,Original air date,"Prod.
code","UK viewers
(millions)",AI
1,1,An Unearthly Child,"""An Unearthly Child""",Waris Hussein,"Anthony Coburn and
C. E. Webber (uncredited)",23 November 1963 (1963-11-23),A,4.4,63
1,1,An Unearthly Child,"""The Cave of Skulls""",Waris Hussein,Anthony Coburn,30 November 1963 (1963-11-30),A,5.9,59
1,1,An Unearthly Child,"""The Forest of Fear""",Waris Hussein,Anthony Coburn,7 December 1963 (1963-12-07),A,6.9,56
1,1,An Unearthly Child,"""The Firemaker""",Waris Hussein,Anthony Coburn,14 December 1963 (1963-12-14),A,6.4,55
2,2,The Daleks,"""The Dead Planet""",Christopher Barry,Terry Nation,21 December 1963 (1963-12-21),B,6.9,59
2,2,The Daleks,"""The Survivors""",Christopher Barry,Terry Nation,28 December 1963 (1963-12-28),B,6.4,58
2,2,The Daleks,"""The Escape""",Richard Martin,Terry Nation,4 January 1964 (1964-01-04),B,8.9,63
2,2,The Daleks,"""The Ambush""",Christopher Barry,Terry Nation,11 January 1964 (1964-01-11),B,9.9,63
2,2,The Daleks,"""The Expedition""",Christopher Barry,Terry Nation,18 January 1964 (1964-01-18),B,9.9,63
2,2,The Daleks,"""The Ordeal""",Richard Martin,Terry Nation,25 January 1964 (1964-01-25),B,10.4,63
2,2,The Daleks,"""The Rescue""",Richard Martin,Terry Nation,1 February 1964 (1964-02-01),B,10.4,65
3,3,The Edge of Destruction,"""The Edge of Destruction""",Richard Martin,David Whitaker,8 February 1964 (1964-02-08),C,10.4,61
3,3,The Edge of Destruction,"""The Brink of Disaster""",Frank Cox,David Whitaker,15 February 1964 (1964-02-15),C,9.9,60
4,4,Marco Polo,"""The Roof of the World""†",Waris Hussein,John Lucarotti,22 February 1964 (1964-02-22),D,9.4,63
4,4,Marco Polo,"""The Singing Sands""†",Waris Hussein,John Lucarotti,29 February 1964 (1964-02-29),D,9.4,62
4,4,Marco Polo,"""Five Hundred Eyes""†",Waris Hussein,John Lucarotti,7 March 1964 (1964-03-07),D,9.4,62
4,4,Marco Polo,"""The Wall of Lies""†",John Crockett,John Lucarotti,14 March 1964 (1964-03-14),D,9.9,60
4,4,Marco Polo,"""Rider from Shang-Tu""†",Waris Hussein,John Lucarotti,21 March 1964 (1964-03-21),D,9.4,59
4,4,Marco Polo,"""Mighty Kublai Khan""†",Waris Hussein,John Lucarotti,28 March 1964 (1964-03-28),D,8.4,59
4,4,Marco Polo,"""Assassin at Peking""†",Waris Hussein,John Lucarotti,4 April 1964 (1964-04-04),D,10.4,59
5,5,The Keys of Marinus,"""The Sea of Death""",John Gorrie,Terry Nation,11 April 1964 (1964-04-11),E,9.9,62
5,5,The Keys of Marinus,"""The Velvet Web""",John Gorrie,Terry Nation,18 April 1964 (1964-04-18),E,9.4,60
5,5,The Keys of Marinus,"""The Screaming Jungle""",John Gorrie,Terry Nation,25 April 1964 (1964-04-25),E,9.9,61
5,5,The Keys of Marinus,"""The Snows of Terror""",John Gorrie,Terry Nation,2 May 1964 (1964-05-02),E,10.4,60
5,5,The Keys of Marinus,"""Sentence of Death""",John Gorrie,Terry Nation,9 May 1964 (1964-05-09),E,7.9,61
5,5,The Keys of Marinus,"""The Keys of Marinus""",John Gorrie,Terry Nation,16 May 1964 (1964-05-16),E,6.9,63
6,6,The Aztecs,"""The Temple of Evil""",John Crockett,John Lucarotti,23 May 1964 (1964-05-23),F,7.4,62
6,6,The Aztecs,"""The Warriors of Death""",John Crockett,John Lucarotti,30 May 1964 (1964-05-30),F,7.4,62
6,6,The Aztecs,"""The Bride of Sacrifice""",John Crockett,John Lucarotti,6 June 1964 (1964-06-06),F,7.9,57
6,6,The Aztecs,"""The Day of Darkness""",John Crockett,John Lucarotti,13 June 1964 (1964-06-13),F,7.4,58
7,7,The Sensorites,"""Strangers in Space""",Mervyn Pinfield,Peter R. Newman,20 June 1964 (1964-06-20),G,7.9,59
7,7,The Sensorites,"""The Unwilling Warriors""",Mervyn Pinfield,Peter R. Newman,27 June 1964 (1964-06-27),G,6.9,59
7,7,The Sensorites,"""Hidden Danger""",Mervyn Pinfield,Peter R. Newman,11 July 1964 (1964-07-11),G,7.4,56
7,7,The Sensorites,"""A Race Against Death""",Mervyn Pinfield,Peter R. Newman,18 July 1964 (1964-07-18),G,5.5,60
7,7,The Sensorites,"""Kidnap""",Frank Cox,Peter R. Newman,25 July 1964 (1964-07-25),G,6.9,57
7,7,The Sensorites,"""A Desperate Venture""",Frank Cox,Peter R. Newman,1 August 1964 (1964-08-01),G,6.9,57
8,8,The Reign of Terror,"""A Land of Fear""",Henric Hirsch,Dennis Spooner,8 August 1964 (1964-08-08),H,6.9,58
8,8,The Reign of Terror,"""Guests of Madame Guillotine""",Henric Hirsch,Dennis Spooner,15 August 1964 (1964-08-15),H,6.9,54
8,8,The Reign of Terror,"""A Change of Identity""",Henric Hirsch,Dennis Spooner,22 August 1964 (1964-08-22),H,6.9,55
8,8,The Reign of Terror,"""The Tyrant of France""†",Henric Hirsch,Dennis Spooner,29 August 1964 (1964-08-29),H,6.4,53
8,8,The Reign of Terror,"""A Bargain of Necessity""†",Henric Hirsch,Dennis Spooner,5 September 1964 (1964-09-05),H,6.9,53
8,8,The Reign of Terror,"""Prisoners of Conciergerie""",Henric Hirsch,Dennis Spooner,12 September 1964 (1964-09-12),H,6.4,55
